year,tag,sector,p_raw,p_adj,thresh,precision,recall,valid_land_px,gsd_cm,canopy_ha_true,is_champion
2013,xsensor_rgb,S1,0.53349,0.64306,0.5209,0.8551,0.7094,32856772,10.03,21.24,
2013,xsensor_rgb,S2,0.49497,0.59663,0.5209,0.8551,0.7094,98319663,10.03,58.97,
2013,xsensor_rgb,S3,0.28863,0.34791,0.5209,0.8551,0.7094,117973351,10.03,41.26,
2013,xsensor_rgb,S4,0.23525,0.28356,0.5209,0.8551,0.7094,180301826,10.03,51.4,
2013,xsensor_rgb,S5,0.29427,0.35471,0.5209,0.8551,0.7094,130601404,10.03,46.57,
2015,citywide_rgb,S1,0.54489,0.64958,0.5011,0.8823,0.7401,32856736,10.03,21.46,
2015,citywide_rgb,S2,0.49463,0.58967,0.5011,0.8823,0.7401,98319625,10.03,58.28,
2015,citywide_rgb,S3,0.28914,0.3447,0.5011,0.8823,0.7401,117973817,10.03,40.88,
2015,citywide_rgb,S4,0.20084,0.23942,0.5011,0.8823,0.7401,180301597,10.03,43.4,
2015,citywide_rgb,S5,0.31171,0.37161,0.5011,0.8823,0.7401,130601415,10.03,48.79,
2015,xsensor_rgb,S1,0.49598,0.70427,0.576,0.8835,0.6222,32856736,10.03,23.26,
2015,xsensor_rgb,S2,0.45864,0.65125,0.576,0.8835,0.6222,98319625,10.03,64.37,
2015,xsensor_rgb,S3,0.24268,0.34459,0.576,0.8835,0.6222,117973817,10.03,40.87,
2015,xsensor_rgb,S4,0.16454,0.23363,0.576,0.8835,0.6222,180301597,10.03,42.35,
2015,xsensor_rgb,S5,0.27259,0.38706,0.576,0.8835,0.6222,130601415,10.03,50.82,
2016,,S3,0.2682,0.35308,0.509,0.8736,0.6636,51064934,15.24,41.87,
2016,,S4,0.197,0.25934,0.509,0.8736,0.6636,78109471,15.24,47.01,
2016,,S5,0.29152,0.38377,0.509,0.8736,0.6636,56465760,15.24,50.38,
2016,corrected,S3,0.45286,0.379,0.509,0.7296,0.8718,51064934,15.24,44.95,
2016,corrected,S4,0.37044,0.31002,0.509,0.7296,0.8718,78109471,15.24,56.19,
2016,corrected,S5,0.44929,0.37601,0.509,0.7296,0.8718,56465760,15.24,49.37,
2016,fullext_sectors_v1,S1,0.44392,0.65684,0.5223,0.9119,0.6163,3551444,30.48,21.7,
2016,fullext_sectors_v1,S2,0.43588,0.64494,0.5223,0.9119,0.6163,10634091,30.48,63.74,
2016,fullext_sectors_v1,S3,0.22838,0.33791,0.5223,0.9119,0.6163,12766253,30.48,40.07,
2016,fullext_sectors_v1,S4,0.14879,0.22016,0.5223,0.9119,0.6163,19527385,30.48,39.9,
2016,fullext_sectors_v1,S5,0.25856,0.38257,0.5223,0.9119,0.6163,14147819,30.48,50.23,
2017,citywide_rgb,S1,0.47538,0.60665,0.4986,0.9007,0.7058,131426986,5.01,20.04,
2017,citywide_rgb,S2,0.45605,0.58198,0.4986,0.9007,0.7058,393278693,5.01,57.52,
2017,citywide_rgb,S3,0.26205,0.33441,0.4986,0.9007,0.7058,471895113,5.01,39.66,
2017,citywide_rgb,S4,0.18948,0.2418,0.4986,0.9007,0.7058,721207912,5.01,43.83,
2017,citywide_rgb,S5,0.30234,0.38583,0.4986,0.9007,0.7058,522406219,5.01,50.66,
2017,xsensor_train,S1,0.55474,0.57605,0.4759,0.8083,0.7784,131426986,5.01,19.03,
2017,xsensor_train,S2,0.51434,0.53409,0.4759,0.8083,0.7784,393278693,5.01,52.79,
2017,xsensor_train,S3,0.33811,0.35109,0.4759,0.8083,0.7784,471895113,5.01,41.64,
2017,xsensor_train,S4,0.25489,0.26468,0.4759,0.8083,0.7784,721207912,5.01,47.97,
2017,xsensor_train,S5,0.38763,0.40252,0.4759,0.8083,0.7784,522406219,5.01,52.85,
2018s,sectors_v1,S1,0.37045,0.64466,0.5,0.8024,0.4611,14205779,15.24,21.29,1
2018s,sectors_v1,S2,0.35982,0.62616,0.5,0.8024,0.4611,42536383,15.24,61.89,1
2018s,sectors_v1,S3,0.2005,0.3489,0.5,0.8024,0.4611,51064929,15.24,41.38,1
2018s,sectors_v1,S4,0.13478,0.23454,0.5,0.8024,0.4611,78109530,15.24,42.51,1
2018s,sectors_v1,S5,0.22712,0.39522,0.5,0.8024,0.4611,56591113,15.24,51.89,1
2019,citywide_rgb,S1,0.49247,0.63961,0.332,0.8242,0.6346,32856075,10.03,21.13,1
2019,citywide_rgb,S2,0.44998,0.58443,0.332,0.8242,0.6346,98318195,10.03,57.76,1
2019,citywide_rgb,S3,0.23816,0.30931,0.332,0.8242,0.6346,117973686,10.03,36.68,1
2019,citywide_rgb,S4,0.1702,0.22105,0.332,0.8242,0.6346,180301459,10.03,40.07,1
2019,citywide_rgb,S5,0.27044,0.35123,0.332,0.8242,0.6346,130600940,10.03,46.11,1
2019n,p2nir,S1,0.4367,0.57385,0.495,0.854,0.6499,915930,60.0,18.95,1
2019n,p2nir,S2,0.44015,0.57837,0.495,0.854,0.6499,2742517,60.0,57.16,1
2019n,p2nir,S3,0.24348,0.31994,0.495,0.854,0.6499,3292357,60.0,37.94,1
2019n,p2nir,S4,0.17873,0.23486,0.495,0.854,0.6499,5036038,60.0,42.57,1
2019n,p2nir,S5,0.27743,0.36456,0.495,0.854,0.6499,3648631,60.0,47.86,1
2020s,sectors_v1,S1,0.43792,0.65268,0.5,0.8172,0.5483,56823142,7.62,21.56,1
2020s,sectors_v1,S2,0.41183,0.6138,0.5,0.8172,0.5483,170145533,7.62,60.67,1
2020s,sectors_v1,S3,0.23434,0.34927,0.5,0.8172,0.5483,204259753,7.62,41.42,1
2020s,sectors_v1,S4,0.16361,0.24385,0.5,0.8172,0.5483,312438139,7.62,44.2,1
2020s,sectors_v1,S5,0.25689,0.38287,0.5,0.8172,0.5483,226364866,7.62,50.27,1
2021,citywide_rgb,S1,0.45428,0.65814,0.4013,0.8778,0.6059,32856734,10.03,21.74,1
2021,citywide_rgb,S2,0.43298,0.62729,0.4013,0.8778,0.6059,98319601,10.03,62.0,1
2021,citywide_rgb,S3,0.21424,0.31037,0.4013,0.8778,0.6059,117973946,10.03,36.81,1
2021,citywide_rgb,S4,0.14253,0.20649,0.4013,0.8778,0.6059,180301728,10.03,37.43,1
2021,citywide_rgb,S5,0.25164,0.36456,0.4013,0.8778,0.6059,130601354,10.03,47.86,1
2021s,fullext_sectors_v1,S1,0.50986,0.64244,0.5,0.8276,0.6568,14205781,15.24,21.22,0
2021s,fullext_sectors_v1,S2,0.47767,0.60189,0.5,0.8276,0.6568,42536384,15.24,59.49,0
2021s,fullext_sectors_v1,S3,0.26809,0.33781,0.5,0.8276,0.6568,51064930,15.24,40.06,0
2021s,fullext_sectors_v1,S4,0.2,0.25202,0.5,0.8276,0.6568,78109536,15.24,45.68,0
2021s,fullext_sectors_v1,S5,0.30319,0.38204,0.5,0.8276,0.6568,56591114,15.24,50.16,0
2021s,p2nir,S3,0.25774,0.32154,0.499,0.8547,0.6851,51064934,15.24,38.13,1
2021s,p2nir,S4,0.19096,0.23824,0.499,0.8547,0.6851,78109471,15.24,43.18,1
2021s,p2nir,S5,0.2948,0.36778,0.499,0.8547,0.6851,56465760,15.24,48.28,1
2022,citywide_rgb,S1,0.49829,0.58556,0.4988,0.8012,0.6818,131427093,5.01,19.34,1
2022,citywide_rgb,S2,0.45938,0.53983,0.4988,0.8012,0.6818,393278778,5.01,53.36,1
2022,citywide_rgb,S3,0.24934,0.293,0.4988,0.8012,0.6818,471895384,5.01,34.75,1
2022,citywide_rgb,S4,0.20055,0.23567,0.4988,0.8012,0.6818,721208070,5.01,42.71,1
2022,citywide_rgb,S5,0.3163,0.37169,0.4988,0.8012,0.6818,522406463,5.01,48.8,1
2023,citywide_rgb,S1,0.48937,0.63941,0.5103,0.8506,0.651,32856704,10.03,21.12,1
2023,citywide_rgb,S2,0.44163,0.57704,0.5103,0.8506,0.651,98319560,10.03,57.03,1
2023,citywide_rgb,S3,0.24717,0.32295,0.5103,0.8506,0.651,117973950,10.03,38.3,1
2023,citywide_rgb,S4,0.17804,0.23263,0.5103,0.8506,0.651,180301694,10.03,42.16,1
2023,citywide_rgb,S5,0.27524,0.35963,0.5103,0.8506,0.651,130601409,10.03,47.22,1
2023n,,S1,0.47375,0.62286,0.404,0.863,0.6564,915930,60.0,20.57,1
2023n,,S2,0.45602,0.59954,0.404,0.863,0.6564,2742517,60.0,59.26,1
2023n,,S3,0.24737,0.32524,0.404,0.863,0.6564,3292357,60.0,38.57,1
2023n,,S4,0.17453,0.22946,0.404,0.863,0.6564,5036038,60.0,41.59,1
2023n,,S5,0.27953,0.36751,0.404,0.863,0.6564,3648631,60.0,48.25,1
2024,citywide_rgb,S1,0.50548,0.67498,0.5043,0.8239,0.617,131426998,5.01,22.29,1
2024,citywide_rgb,S2,0.48622,0.64927,0.5043,0.8239,0.617,393278694,5.01,64.17,1
2024,citywide_rgb,S3,0.25975,0.34685,0.5043,0.8239,0.617,471895239,5.01,41.13,1
2024,citywide_rgb,S4,0.19329,0.25811,0.5043,0.8239,0.617,721207793,5.01,46.78,1
2024,citywide_rgb,S5,0.30929,0.41301,0.5043,0.8239,0.617,522406167,5.01,54.22,1
