stem,title,authors,year,venue,doi,arxiv,source_route,obtained_date,sha256,verified_against_extract,cited_by
Averkov_2009_confirmation-matheron-s-conjecture,Confirmation of Matheron's conjecture on the covariogram of a planar convex body,"Averkov, G. & Bianchi, G.",2009,J. Eur. Math. Soc.,10.4171/JEMS/183,,unknown (pre-manifest),2026-09-13,e638ec562568677b5c0e942c3a278a89b327d78368a15144a153808f302400cd,yes,LIT_REVIEW_SPATIOTEMPORAL_CONSISTENCY_2026-09-10.md
Higham_2011_pth-roots-stochastic-matrices,On pth roots of stochastic matrices,"Higham, N.J. & Lin, L.",2011,Linear Algebra Appl.,10.1016/j.laa.2010.09.001,,unknown (pre-manifest),2026-09-13,b28529c1f2948839c68c31a7456f7137ae5be2ed8683034d1e9f28e9ffba97c4,yes,LIT_REVIEW_SPATIOTEMPORAL_CONSISTENCY_2026-09-10.md
