file,key,kind,status,problems,bytes,width,height,bands,dtype,epsg,units,true_gsd_cm,overviews,nodata,fill,zero_frac,unique_b1
2000_king_rgb.tif,2000,catalog,WARN,NO OVERVIEWS (decimated reads will touch every byte),1258501736,18944,26880,3,uint8,3857,metre,40.1,0,,varies,0.2872,256
2002_usgs_30cm_rgb.tif,2002,catalog,OK,,2010711608,25112,35535,3,uint8,26910,metre,30.0,5,0.0,varies,0.1939,253
2002_snoh_1ft_rgb.tif,2002s,catalog,OK,,1704437706,25116,35259,3,uint8,2285,US survey foot,30.48,6,,varies,0.1241,255
2003_snoh_1ft_rgb.tif,2003s,catalog,OK,,1501046192,25116,35259,3,uint8,2285,US survey foot,30.48,6,,varies,0.124,255
2005_king_rgb.tif,2005,catalog,WARN,NO OVERVIEWS (decimated reads will touch every byte),1955550721,37376,53248,3,uint8,3857,metre,20.05,0,,varies,0.0001,256
2006_snoh_1m_rgb.tif,2006s,catalog,OK,,218544136,7656,10748,3,uint8,2285,US survey foot,100.0,6,,varies,0.0,253
2007_king_rgb.tif,2007,catalog,WARN,NO OVERVIEWS (decimated reads will touch every byte),2925814135,37376,53248,3,uint8,3857,metre,20.05,0,,varies,0.0006,256
2007_snoh_1ft_rgb.tif,2007s,catalog,OK,,1548181188,25116,35259,3,uint8,2285,US survey foot,30.48,6,,varies,0.0,249
2009_king_rgb.tif,2009,catalog,WARN,NO OVERVIEWS (decimated reads will touch every byte),3000263130,37376,53248,3,uint8,3857,metre,20.05,0,,varies,0.0524,256
2009_snoh_1ft_rgb.tif,2009s,catalog,OK,,2348259187,25117,35260,3,uint8,2285,US survey foot,30.48,6,,varies,0.0157,244
2011_snoh_1ft_rgb.tif,2011s,catalog,OK,,1987295246,25117,35259,3,uint8,2926,US survey foot,30.48,6,,varies,0.2005,255
2012_snoh_9in_rgb.tif,2012s,catalog,OK,,3237421325,33489,47012,3,uint8,2926,US survey foot,22.86,6,,varies,0.1768,256
2013_king_rgb.tif,2013,catalog,WARN,NO OVERVIEWS (decimated reads will touch every byte),9855797426,74496,105984,3,uint8,3857,metre,10.025,0,,varies,0.0955,256
2013_snoh_1m_rgb.tif,2013s,catalog,OK,,155772878,7655,10745,3,uint8,2285,US survey foot,100.021,6,,varies,0.0,232
2015_king_rgb.tif,2015,catalog,WARN,NO OVERVIEWS (decimated reads will touch every byte),12092996512,74496,105984,3,uint8,3857,metre,10.025,0,,varies,0.0933,256
2016_snoh_1ft_rgbi.tif,2016,catalog,OK,,2586179492,25116,35259,4,uint8,2285,US survey foot,30.48,6,,varies,0.1766,250
2019_king_rgb.tif,2019,catalog,WARN,NO OVERVIEWS (decimated reads will touch every byte),11654003682,74496,105984,3,uint8,3857,metre,10.025,0,,varies,0.1039,256
2015_naip_1m_rgbi.tif,2015n,catalog,OK,,267712247,7534,10661,4,uint8,26910,metre,100.0,5,0.0,varies,0.0,226
2015_snoh_1ft_rgb.tif,2015s,catalog,OK,,1209251170,25116,35259,3,uint8,2285,US survey foot,30.48,6,,varies,0.0,234
