arm,auroc,auroc_lo,auroc_hi,pr_auc,best_f1_height_m,best_f1,best_j_height_m,best_j,own_valid_px,common_px,ref_canopy_px,ref_noncanopy_px
chm,0.905913,0.897583,0.913473,0.872079,9.8,0.792128,9.8,0.653590,49480525,41975356,16785766,25189590
chm2,0.842885,0.830299,0.855115,0.819401,6.4,0.714694,6.8,0.540187,42103555,41975356,16785766,25189590
max2(chm2),0.894882,0.885250,0.903751,0.860800,9.4,0.779771,9.4,0.633073,42103555,41975356,16785766,25189590
smooth2(max2(chm2)),0.907328,0.898084,0.915487,0.875385,9.4,0.794097,9.4,0.656968,42103555,41975356,16785766,25189590
