a,b,d_auroc,ci_lo,ci_hi,resolving_power,sign_stable,d_pr_auc,verdict,epoch_handicapped
chm,chm2,+0.063028,+0.057748,+0.067902,0.005077,1.0000,+0.052678,BETTER,0
chm,max2(chm2),+0.011031,+0.009719,+0.012522,0.001402,1.0000,+0.011279,BETTER,0
chm,smooth2(max2(chm2)),-0.001415,-0.002250,-0.000461,0.000895,1.0000,-0.003305,WORSE,0
chm2,max2(chm2),-0.051997,-0.055578,-0.047438,0.004070,1.0000,-0.041399,WORSE,0
chm2,smooth2(max2(chm2)),-0.064443,-0.068641,-0.059327,0.004657,1.0000,-0.055983,WORSE,0
max2(chm2),smooth2(max2(chm2)),-0.012446,-0.013321,-0.011588,0.000867,1.0000,-0.014584,WORSE,0
