group,kind,px,area_pct,canopy_call_rate,ref,prob,thresh,ts
forest,canopy,1172018843,28.389,0.5347,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2015_trend8_2015.tif,0.5064,2026-09-10 11:29:43
wetland,canopy,11571371,0.28,0.9277,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2015_trend8_2015.tif,0.5064,2026-09-10 11:29:43
scrub,canopy,97574628,2.363,0.1047,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2015_trend8_2015.tif,0.5064,2026-09-10 11:29:43
grass,non-canopy,710442821,17.208,0.0459,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2015_trend8_2015.tif,0.5064,2026-09-10 11:29:43
cropland,non-canopy,0,0.0,nan,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2015_trend8_2015.tif,0.5064,2026-09-10 11:29:43
developed,non-canopy,1251964602,30.325,0.0173,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2015_trend8_2015.tif,0.5064,2026-09-10 11:29:43
barren,non-canopy,48134058,1.166,0.0619,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2015_trend8_2015.tif,0.5064,2026-09-10 11:29:43
emergent_wetland,non-canopy,14281030,0.346,0.5356,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2015_trend8_2015.tif,0.5064,2026-09-10 11:29:43
water,non-canopy,822461892,19.922,0.022,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2015_trend8_2015.tif,0.5064,2026-09-10 11:29:43
other,non-canopy,0,0.0,nan,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2015_trend8_2015.tif,0.5064,2026-09-10 11:29:43
