part,band_lo_m,band_hi_m,recall,called,missed,edge_width_m
interior,2,5,0.3876,134939,213205,4.0
interior,5,10,0.6103,904772,577660,4.0
interior,10,15,0.7698,1381308,412965,4.0
interior,15,20,0.8682,1948702,295856,4.0
interior,20,25,0.9217,2334307,198311,4.0
interior,25,30,0.947,2299048,128643,4.0
interior,30,100,0.9675,4599502,154397,4.0
edge,0,2,0.1604,723,3784,4.0
edge,2,5,0.1258,103522,719335,4.0
edge,5,10,0.2609,450340,1275736,4.0
edge,10,15,0.4183,519289,722095,4.0
edge,15,20,0.5364,508431,439507,4.0
edge,20,25,0.6115,416920,264875,4.0
edge,25,30,0.6499,309580,166783,4.0
edge,30,100,0.704,382453,160832,4.0
