fill_id,epoch,prev_epoch,next_epoch,tier,k,gap_years,dt_left_yr,dt_right_yr,dt_basis,n_cells,area_m2,crown_id,crown_diam_m,size_class,crown_cells,fill_cells_in_crown,fill_share_of_crown,crown_cover_raw,p_t_list,p_t_source,miss_product,epsilon_interval,epsilon_interval_next,gamma_interval_colonisation,gamma_interval_emptysite,lambda_colonisation,lambda_colonisation_emptysite,lambda_rule,log10_lambda_colonisation,log10_lambda_rule,posterior_fill_colonisation,posterior_fill_colonisation_emptysite,posterior_fill_rule
2011s#163_2359,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,70,280.0,5012,13.78,10-14,18,13,0.722,0.278,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#165_2392,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,11,44.0,5016,5.48,5-6,3,2,0.667,0.333,0.9349,2011s|bin|5-6,0.0651,0.008764,0.008764,0.0004121,0.0009761,17710.5,7477.62,36.494,4.2482,1.5622,0.99994354,0.99986629,0.97332908
2011s#171_2652,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,10,40.0,5351,7.81,6-8,5,4,0.8,0.0,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#172_2372,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,32,128.0,5024,4.81,4-5,2,2,1.0,0.0,0.9185,2011s|bin|4-5,0.0815,0.008764,0.008764,0.0004121,0.0009761,22172.2,9361.38,45.6876,4.3458,1.6598,0.9999549,0.99989319,0.97858104
2011s#173_2348,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,20,80.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#175_2453,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#181_2416,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,11,44.0,5120,6.54,6-8,4,2,0.5,0.0,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#182_2485,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#182_2533,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,16,64.0,5218,4.37,4-5,2,1,0.5,0.0,0.9185,2011s|bin|4-5,0.0815,0.008764,0.008764,0.0004121,0.0009761,22172.2,9361.38,45.6876,4.3458,1.6598,0.9999549,0.99989319,0.97858104
2011s#183_2420,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,20,80.0,5127,11.52,10-14,10,2,0.2,0.8,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#184_2390,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,12,48.0,5043,8.3,8-10,7,4,0.571,0.429,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#184_2410,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,25,100.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#184_2642,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,20,80.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#190_2349,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,48,192.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#190_2363,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,10,40.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#194_2514,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#196_2485,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,4959,21.62,14+,44,2,0.045,0.909,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#199_2405,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,16,64.0,6187,2.77,2-3,1,1,1.0,0.0,0.8885,2011s|bin|2-3,0.1115,0.008764,0.008764,0.0004121,0.0009761,30333.7,12807.3,62.5051,4.4819,1.7959,0.99996703,0.99992193,0.98425324
2011s#199_2663,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,6602,9.37,8-10,8,1,0.125,0.75,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#207_2414,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,26,104.0,6255,9.79,8-10,9,9,1.0,0.0,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#214_2365,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#216_2347,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,20,80.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#217_2595,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#217_2600,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,6835,7.58,6-8,4,2,0.5,0.5,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#220_2537,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,57,228.0,6553,12.72,10-14,13,11,0.846,0.154,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#220_2557,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,15,60.0,6531,6.37,6-8,4,1,0.25,0.0,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#221_2591,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,11,44.0,6844,12.09,10-14,14,1,0.071,0.929,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#222_2673,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,17,68.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#224_2391,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,6208,18.89,14+,31,2,0.065,0.935,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#226_2686,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#227_2346,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
