fill_id,epoch,prev_epoch,next_epoch,tier,k,gap_years,dt_left_yr,dt_right_yr,dt_basis,n_cells,area_m2,crown_id,crown_diam_m,size_class,crown_cells,fill_cells_in_crown,fill_share_of_crown,crown_cover_raw,p_t_list,p_t_source,miss_product,epsilon_interval,epsilon_interval_next,gamma_interval_colonisation,gamma_interval_emptysite,lambda_colonisation,lambda_colonisation_emptysite,lambda_rule,log10_lambda_colonisation,log10_lambda_rule,posterior_fill_colonisation,posterior_fill_colonisation_emptysite,posterior_fill_rule
2011s#3162_1950,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,10,40.0,129783,14.94,14+,19,1,0.053,0.632,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3163_1231,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,21,84.0,129067,11.32,10-14,13,5,0.385,0.0,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3164_1752,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,129541,8.77,8-10,7,5,0.714,0.0,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#3165_651,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,128621,12.19,10-14,11,4,0.364,0.364,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3165_1580,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,129408,7.58,6-8,6,3,0.5,0.5,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#3166_1483,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,10,40.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#3166_1547,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,16,64.0,129364,15.78,14+,20,2,0.1,0.9,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3166_2062,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,25,100.0,132727,6.64,6-8,4,4,1.0,0.0,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#3167_1137,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,129004,6.62,6-8,5,2,0.4,0.6,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#3168_1319,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,32,128.0,129157,5.08,5-6,3,2,0.667,0.0,0.9349,2011s|bin|5-6,0.0651,0.008764,0.008764,0.0004121,0.0009761,17710.5,7477.62,36.494,4.2482,1.5622,0.99994354,0.99986629,0.97332908
2011s#3168_1447,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,129248,14.92,14+,19,1,0.053,0.947,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3169_1032,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,128898,8.59,8-10,8,2,0.25,0.0,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#3169_1036,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,16,64.0,128895,9.33,8-10,9,6,0.667,0.333,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#3169_1852,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,18,72.0,132416,13.02,10-14,15,1,0.067,0.8,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3170_1629,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,129463,5.79,5-6,3,3,1.0,0.0,0.9349,2011s|bin|5-6,0.0651,0.008764,0.008764,0.0004121,0.0009761,17710.5,7477.62,36.494,4.2482,1.5622,0.99994354,0.99986629,0.97332908
2011s#3171_918,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,11,44.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#3171_1232,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,10,40.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#3171_1477,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,23,92.0,129316,10.43,10-14,9,6,0.667,0.333,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3171_1508,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#3172_737,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,12,48.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#3172_1433,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,11,44.0,129266,17.39,14+,27,1,0.037,0.741,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3172_1890,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,26,104.0,132467,5.33,5-6,3,3,1.0,0.0,0.9349,2011s|bin|5-6,0.0651,0.008764,0.008764,0.0004121,0.0009761,17710.5,7477.62,36.494,4.2482,1.5622,0.99994354,0.99986629,0.97332908
2011s#3172_2403,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,132947,10.25,10-14,9,3,0.333,0.556,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3173_1413,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,129265,11.61,10-14,11,3,0.273,0.727,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3173_1524,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,129372,16.36,14+,23,2,0.087,0.913,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3173_1601,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,129423,17.71,14+,27,3,0.111,0.889,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3173_2187,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,11,44.0,132801,7.62,6-8,5,5,1.0,0.0,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#3175_835,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,128735,7.66,6-8,4,2,0.5,0.5,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#3175_1588,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,11,44.0,129422,17.29,14+,26,2,0.077,0.923,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3175_1940,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,24,96.0,132581,16.09,14+,24,4,0.167,0.708,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3176_1052,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,15,60.0,131612,5.95,5-6,3,2,0.667,0.333,0.9349,2011s|bin|5-6,0.0651,0.008764,0.008764,0.0004121,0.0009761,17710.5,7477.62,36.494,4.2482,1.5622,0.99994354,0.99986629,0.97332908
2011s#3176_1947,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,13,52.0,132576,9.21,8-10,7,2,0.286,0.714,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#3177_1204,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,10,40.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#3178_814,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,128744,15.63,14+,19,3,0.158,0.842,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3178_841,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,39,156.0,131561,15.37,14+,21,2,0.095,0.714,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3179_2122,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,10,40.0,132630,11.73,10-14,13,8,0.615,0.231,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3180_614,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#3180_2216,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,132811,11.41,10-14,12,3,0.25,0.75,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3181_868,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,131471,19.87,14+,34,5,0.147,0.735,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3181_1293,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,131763,16.81,14+,25,5,0.2,0.72,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3181_1506,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,132081,10.14,10-14,9,1,0.111,0.667,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3181_1580,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,28,112.0,132220,10.68,10-14,11,3,0.273,0.727,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3181_2250,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#3182_1217,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,162,648.0,131882,6.91,6-8,5,5,1.0,0.0,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#3183_860,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,24,96.0,131473,18.23,14+,27,8,0.296,0.63,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3184_611,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,18,72.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#3185_579,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#3185_1587,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,132221,8.15,8-10,5,4,0.8,0.2,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#3185_2011,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,12,48.0,132543,10.07,10-14,8,3,0.375,0.625,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3186_601,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,20,80.0,131116,6.43,6-8,4,3,0.75,0.25,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#3186_1888,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,15,60.0,132484,8.89,8-10,8,5,0.625,0.375,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#3192_614,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,14,56.0,131126,6.4,6-8,4,2,0.5,0.5,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#3193_954,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,18,72.0,131603,10.27,10-14,9,7,0.778,0.0,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3193_966,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,131604,8.49,8-10,6,1,0.167,0.833,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#3194_1083,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,131634,5.81,5-6,2,2,1.0,0.0,0.9349,2011s|bin|5-6,0.0651,0.008764,0.008764,0.0004121,0.0009761,17710.5,7477.62,36.494,4.2482,1.5622,0.99994354,0.99986629,0.97332908
2011s#3194_1237,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,131900,5.61,5-6,3,1,0.333,0.667,0.9349,2011s|bin|5-6,0.0651,0.008764,0.008764,0.0004121,0.0009761,17710.5,7477.62,36.494,4.2482,1.5622,0.99994354,0.99986629,0.97332908
2011s#3195_584,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,131336,9.72,8-10,10,3,0.3,0.0,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#3195_755,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,131455,17.94,14+,30,5,0.167,0.833,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3195_1543,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,132154,17.27,14+,27,2,0.074,0.926,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3196_1150,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,17,68.0,131833,6.57,6-8,4,1,0.25,0.0,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#3197_1235,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,18,72.0,131908,9.09,8-10,7,6,0.857,0.143,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#3197_1589,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,31,124.0,132238,9.08,8-10,7,2,0.286,0.714,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#3197_2375,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,133111,11.3,10-14,13,7,0.538,0.462,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3198_883,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,18,72.0,131484,5.11,5-6,3,2,0.667,0.0,0.9349,2011s|bin|5-6,0.0651,0.008764,0.008764,0.0004121,0.0009761,17710.5,7477.62,36.494,4.2482,1.5622,0.99994354,0.99986629,0.97332908
2011s#3198_1694,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#3199_2303,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,132914,15.41,14+,19,4,0.211,0.789,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3201_1747,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,132352,13.58,10-14,16,1,0.062,0.938,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3202_1492,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,21,84.0,132095,14.44,14+,19,6,0.316,0.684,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3202_1948,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,13,52.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#3202_2295,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,132919,9.46,8-10,10,2,0.2,0.8,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#3204_1080,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,74,296.0,131661,8.0,8-10,7,5,0.714,0.286,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#3204_1290,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,10,40.0,131791,10.36,10-14,8,1,0.125,0.875,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3204_2394,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,132982,10.94,10-14,11,6,0.545,0.273,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3205_563,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,194,776.0,131418,13.33,10-14,16,10,0.625,0.312,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3206_1276,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,15,60.0,131794,8.04,8-10,4,3,0.75,0.0,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#3206_1746,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#3207_831,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,15,60.0,131577,16.8,14+,26,1,0.038,0.962,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3207_1207,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,19,76.0,131926,4.56,4-5,2,2,1.0,0.0,0.9185,2011s|bin|4-5,0.0815,0.008764,0.008764,0.0004121,0.0009761,22172.2,9361.38,45.6876,4.3458,1.6598,0.9999549,0.99989319,0.97858104
2011s#3207_1215,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,11,44.0,131925,6.54,6-8,5,5,1.0,0.0,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#3207_2024,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,132558,11.79,10-14,11,2,0.182,0.818,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3207_2062,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,10,40.0,132773,11.07,10-14,12,3,0.25,0.75,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3208_885,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#3208_1224,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,7,28.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#3209_604,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,164,656.0,131176,14.5,14+,17,14,0.824,0.176,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3209_638,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,32,128.0,131155,11.66,10-14,12,6,0.5,0.5,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3209_698,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,17,68.0,131296,24.39,14+,53,3,0.057,0.943,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3209_835,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,17,68.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#3209_1104,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,14,56.0,131740,6.81,6-8,4,2,0.5,0.0,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#3209_1531,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,37,148.0,132187,11.27,10-14,10,7,0.7,0.3,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3210_1173,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,20,80.0,131850,5.91,5-6,4,2,0.5,0.5,0.9349,2011s|bin|5-6,0.0651,0.008764,0.008764,0.0004121,0.0009761,17710.5,7477.62,36.494,4.2482,1.5622,0.99994354,0.99986629,0.97332908
2011s#3210_1212,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,33,132.0,131929,9.95,8-10,9,9,1.0,0.0,0.965,2011s|bin|8-10,0.035,0.008764,0.008764,0.0004121,0.0009761,9521.8,4020.22,19.6204,3.9787,1.2927,0.99989499,0.99975132,0.95150443
2011s#3210_1374,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,9,36.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#3210_1444,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,19,76.0,132058,12.07,10-14,14,2,0.143,0.857,0.9786,2011s|bin|10-14,0.0214,0.008764,0.008764,0.0004121,0.0009761,5821.9,2458.08,11.9965,3.7651,1.0791,0.99982826,0.99959334,0.9230562
2011s#3210_1631,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,11,44.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
2011s#3210_1727,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,15,60.0,132358,7.23,6-8,5,1,0.2,0.4,0.9523,2011s|bin|6-8,0.0477,0.008764,0.008764,0.0004121,0.0009761,12976.9,5478.99,26.7399,4.1132,1.4272,0.99992295,0.99981752,0.96395079
2011s#3210_1876,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,132515,15.9,14+,24,5,0.208,0.667,0.9923,2011s|bin|14+,0.0077,0.008764,0.008764,0.0004121,0.0009761,2094.8,884.449,4.3165,3.3211,0.6351,0.99952285,0.99887063,0.81190623
2011s#3210_2210,2011s,2009,2013,HEAL,1,4,2.0,2.0,year_label,8,32.0,,,,,,,,,,,0.008764,0.008764,0.0004121,0.0009761,,,,,,,,
