year,run_tag,ref,criterion,k,thresh,f1,recall,precision,edge_flag,sweep_file,ts
2011s,hy_e3_2011s,ccap_2021_hires_lc.tif,f1_plateau_hi_d005,81,0.318897,0.7589,0.7625,0.7552,,qc_indep_sweep_2011s_hy_e3_2011s_ccap_2021_hires_lc.csv,2026-09-01 17:49:08
2011s,hy_e3_2011s,ccap_2016_hires_lc.tif,f1_plateau_hi_d005,67,0.263779,0.786,0.7734,0.7991,,qc_indep_sweep_2011s_hy_e3_2011s_ccap_2016_hires_lc.csv,2026-09-01 17:49:08
2006s,hy_e3_2006s,ccap_2021_hires_lc.tif,f1_plateau_hi_d005,86,0.338582,0.7017,0.7195,0.6848,,qc_indep_sweep_2006s_hy_e3_2006s_ccap_2021_hires_lc.csv,2026-09-01 17:49:08
2006s,hy_e3_2006s,ccap_2016_hires_lc.tif,f1_plateau_hi_d005,61,0.240157,0.7335,0.7514,0.7165,,qc_indep_sweep_2006s_hy_e3_2006s_ccap_2016_hires_lc.csv,2026-09-01 17:49:08
