point_id,label,ts
719,nochange,2026-09-05T00:17:20Z
800,nochange,2026-09-05T00:17:21Z
419,nochange,2026-09-05T00:17:22Z
1241,nochange,2026-09-05T00:17:24Z
703,nochange,2026-09-05T00:17:25Z
631,nochange,2026-09-05T00:17:26Z
1242,nochange,2026-09-05T00:17:28Z
912,nochange,2026-09-05T00:17:30Z
475,nochange,2026-09-05T00:17:31Z
262,nochange,2026-09-05T00:17:33Z
705,nochange,2026-09-05T00:17:34Z
1240,nochange,2026-09-05T00:17:36Z
856,nochange,2026-09-05T00:17:38Z
387,nochange,2026-09-05T00:17:39Z
708,gain,2026-09-05T00:17:44Z
893,nochange,2026-09-05T00:17:45Z
207,nochange,2026-09-05T00:17:46Z
819,nochange,2026-09-05T00:17:48Z
1095,nochange,2026-09-05T00:17:49Z
1208,undo,2026-09-05T00:17:52Z
1095,unsure,2026-09-05T00:17:53Z
1208,loss,2026-09-05T00:17:56Z
597,nochange,2026-09-05T00:17:58Z
1116,nochange,2026-09-05T00:18:00Z
29,nochange,2026-09-05T00:18:01Z
93,nochange,2026-09-05T00:18:03Z
699,nochange,2026-09-05T00:18:04Z
650,nochange,2026-09-05T00:18:06Z
944,nochange,2026-09-05T00:18:07Z
1140,nochange,2026-09-05T00:18:10Z
1060,nochange,2026-09-05T00:18:11Z
709,nochange,2026-09-05T00:18:13Z
933,nochange,2026-09-05T00:18:14Z
1087,nochange,2026-09-05T00:18:16Z
66,nochange,2026-09-05T00:18:16Z
853,nochange,2026-09-05T00:18:19Z
747,nochange,2026-09-05T00:18:22Z
1028,nochange,2026-09-05T00:18:23Z
244,nochange,2026-09-05T00:18:24Z
1177,nochange,2026-09-05T00:18:26Z
321,nochange,2026-09-05T00:18:29Z
1185,nochange,2026-09-05T00:18:30Z
337,nochange,2026-09-05T00:18:31Z
958,nochange,2026-09-05T00:18:32Z
68,nochange,2026-09-05T00:18:34Z
506,nochange,2026-09-05T00:18:35Z
85,nochange,2026-09-05T00:18:36Z
757,nochange,2026-09-05T00:18:37Z
1084,nochange,2026-09-05T00:18:38Z
266,nochange,2026-09-05T00:18:40Z
520,nochange,2026-09-05T00:18:41Z
818,undo,2026-09-05T00:18:43Z
520,nochange,2026-09-05T00:18:45Z
818,nochange,2026-09-05T00:18:46Z
1004,nochange,2026-09-05T00:18:47Z
872,nochange,2026-09-05T00:18:48Z
746,nochange,2026-09-05T00:18:51Z
355,nochange,2026-09-05T00:18:52Z
842,nochange,2026-09-05T00:18:53Z
1184,nochange,2026-09-05T00:18:55Z
495,nochange,2026-09-05T00:18:56Z
311,nochange,2026-09-05T00:18:57Z
177,nochange,2026-09-05T00:18:57Z
97,nochange,2026-09-05T00:18:59Z
764,nochange,2026-09-05T00:19:00Z
542,nochange,2026-09-05T00:19:01Z
700,loss,2026-09-05T00:19:04Z
656,loss,2026-09-05T00:19:06Z
456,nochange,2026-09-05T00:19:07Z
1056,nochange,2026-09-05T00:19:09Z
521,nochange,2026-09-05T00:19:09Z
1262,nochange,2026-09-05T00:19:10Z
298,nochange,2026-09-05T00:19:11Z
1278,unsure,2026-09-05T00:19:14Z
796,nochange,2026-09-05T00:19:15Z
512,nochange,2026-09-05T00:19:16Z
1118,nochange,2026-09-05T00:19:18Z
306,nochange,2026-09-05T00:19:25Z
327,nochange,2026-09-05T00:19:26Z
785,nochange,2026-09-05T00:19:33Z
573,nochange,2026-09-05T00:19:34Z
645,nochange,2026-09-05T00:19:35Z
578,nochange,2026-09-05T00:19:36Z
154,nochange,2026-09-05T00:19:37Z
643,nochange,2026-09-05T00:19:39Z
426,nochange,2026-09-05T00:19:40Z
1273,nochange,2026-09-05T00:19:41Z
1212,nochange,2026-09-05T00:19:42Z
400,nochange,2026-09-05T00:19:43Z
435,nochange,2026-09-05T00:19:44Z
580,nochange,2026-09-05T00:19:45Z
444,nochange,2026-09-05T00:19:47Z
1245,nochange,2026-09-05T00:19:48Z
296,nochange,2026-09-05T00:19:49Z
603,undo,2026-09-05T00:19:51Z
296,nochange,2026-09-05T00:19:53Z
603,nochange,2026-09-05T00:19:54Z
1249,nochange,2026-09-05T00:19:55Z
591,nochange,2026-09-05T00:19:56Z
934,nochange,2026-09-05T00:19:56Z
729,undo,2026-09-05T00:19:58Z
934,unsure,2026-09-05T00:20:06Z
729,nochange,2026-09-05T00:20:08Z
147,nochange,2026-09-05T00:20:09Z
1219,nochange,2026-09-05T00:20:12Z
854,nochange,2026-09-05T00:20:13Z
1258,nochange,2026-09-05T00:20:14Z
436,nochange,2026-09-05T00:20:16Z
922,nochange,2026-09-05T00:20:17Z
881,nochange,2026-09-05T00:20:18Z
1148,nochange,2026-09-05T00:20:20Z
104,unsure,2026-09-05T00:20:23Z
812,nochange,2026-09-05T00:20:24Z
1283,nochange,2026-09-05T00:20:25Z
33,nochange,2026-09-05T00:20:26Z
787,nochange,2026-09-05T00:20:28Z
822,nochange,2026-09-05T00:20:29Z
471,nochange,2026-09-05T00:20:30Z
222,nochange,2026-09-05T00:20:31Z
349,nochange,2026-09-05T00:20:32Z
801,nochange,2026-09-05T00:20:33Z
136,nochange,2026-09-05T00:20:34Z
898,nochange,2026-09-05T00:20:36Z
313,nochange,2026-09-05T00:20:37Z
120,nochange,2026-09-05T00:20:39Z
649,nochange,2026-09-05T00:20:39Z
121,nochange,2026-09-05T00:20:41Z
211,nochange,2026-09-05T00:20:42Z
672,nochange,2026-09-05T00:20:43Z
465,nochange,2026-09-05T00:20:44Z
103,nochange,2026-09-05T00:20:44Z
198,loss,2026-09-05T00:20:46Z
607,nochange,2026-09-05T00:20:47Z
890,nochange,2026-09-05T00:20:49Z
352,unsure,2026-09-05T00:20:52Z
473,nochange,2026-09-05T00:20:53Z
892,unsure,2026-09-05T00:20:57Z
442,nochange,2026-09-05T00:21:00Z
127,nochange,2026-09-05T00:21:00Z
928,nochange,2026-09-05T00:21:01Z
1067,nochange,2026-09-05T00:21:05Z
553,nochange,2026-09-05T00:21:06Z
354,nochange,2026-09-05T00:21:07Z
874,nochange,2026-09-05T00:21:08Z
74,nochange,2026-09-05T00:21:10Z
460,nochange,2026-09-05T00:21:11Z
718,nochange,2026-09-05T00:21:11Z
514,nochange,2026-09-05T00:21:13Z
508,nochange,2026-09-05T00:21:14Z
362,nochange,2026-09-05T00:21:15Z
53,nochange,2026-09-05T00:21:16Z
1066,nochange,2026-09-05T00:21:17Z
670,nochange,2026-09-05T00:21:18Z
188,nochange,2026-09-05T00:21:19Z
498,nochange,2026-09-05T00:21:21Z
99,nochange,2026-09-05T00:21:22Z
60,nochange,2026-09-05T00:21:23Z
293,nochange,2026-09-05T00:21:24Z
528,undo,2026-09-05T00:21:26Z
293,unsure,2026-09-05T00:21:26Z
528,nochange,2026-09-05T00:21:30Z
1222,nochange,2026-09-05T00:21:31Z
738,nochange,2026-09-05T00:21:32Z
1271,nochange,2026-09-05T00:21:33Z
297,nochange,2026-09-05T00:21:35Z
1013,nochange,2026-09-05T00:21:38Z
1284,nochange,2026-09-05T00:22:32Z
472,nochange,2026-09-05T00:22:33Z
454,unsure,2026-09-05T00:22:38Z
482,nochange,2026-09-05T00:22:39Z
1292,nochange,2026-09-05T00:22:40Z
1172,nochange,2026-09-05T00:22:42Z
1286,nochange,2026-09-05T00:22:43Z
662,nochange,2026-09-05T00:22:44Z
32,nochange,2026-09-05T00:22:45Z
882,nochange,2026-09-05T00:22:45Z
1073,nochange,2026-09-05T00:22:47Z
572,nochange,2026-09-05T00:22:48Z
282,nochange,2026-09-05T00:22:52Z
848,nochange,2026-09-05T00:22:52Z
462,nochange,2026-09-05T00:22:53Z
862,nochange,2026-09-05T00:22:54Z
1160,nochange,2026-09-05T00:22:56Z
277,nochange,2026-09-05T00:22:58Z
1150,undo,2026-09-05T00:23:00Z
277,unsure,2026-09-05T00:23:00Z
1150,nochange,2026-09-05T00:23:01Z
140,nochange,2026-09-05T00:23:02Z
945,nochange,2026-09-05T00:23:03Z
793,undo,2026-09-05T00:23:04Z
945,loss,2026-09-05T00:23:07Z
793,nochange,2026-09-05T00:23:08Z
243,nochange,2026-09-05T00:23:09Z
164,nochange,2026-09-05T00:23:10Z
1091,nochange,2026-09-05T00:23:11Z
285,nochange,2026-09-05T00:23:12Z
1081,nochange,2026-09-05T00:23:14Z
1305,nochange,2026-09-05T00:23:15Z
642,nochange,2026-09-05T00:23:16Z
1293,nochange,2026-09-05T00:23:17Z
235,nochange,2026-09-05T00:23:19Z
513,nochange,2026-09-05T00:23:19Z
224,nochange,2026-09-05T00:23:21Z
541,nochange,2026-09-05T00:23:22Z
1021,nochange,2026-09-05T00:23:24Z
1231,nochange,2026-09-05T00:23:27Z
692,unsure,2026-09-05T00:23:52Z
739,nochange,2026-09-05T00:23:54Z
1182,nochange,2026-09-05T00:23:55Z
750,nochange,2026-09-05T00:23:56Z
808,nochange,2026-09-05T00:23:56Z
134,nochange,2026-09-05T00:23:57Z
51,nochange,2026-09-05T00:23:58Z
986,nochange,2026-09-05T00:23:59Z
686,nochange,2026-09-05T00:24:00Z
1302,nochange,2026-09-05T00:24:02Z
132,nochange,2026-09-05T00:24:03Z
1076,unsure,2026-09-05T00:24:05Z
741,nochange,2026-09-05T00:24:15Z
86,nochange,2026-09-05T00:24:16Z
334,nochange,2026-09-05T00:24:17Z
694,loss,2026-09-05T00:24:19Z
988,unsure,2026-09-05T00:24:22Z
149,nochange,2026-09-05T00:24:22Z
1228,nochange,2026-09-05T00:24:23Z
1306,nochange,2026-09-05T00:24:28Z
214,nochange,2026-09-05T00:24:28Z
1295,nochange,2026-09-05T00:24:29Z
659,nochange,2026-09-05T00:24:30Z
714,nochange,2026-09-05T00:24:30Z
691,nochange,2026-09-05T00:24:33Z
351,nochange,2026-09-05T00:24:34Z
782,nochange,2026-09-05T00:24:35Z
180,nochange,2026-09-05T00:24:36Z
896,nochange,2026-09-05T00:24:37Z
742,nochange,2026-09-05T00:24:38Z
510,nochange,2026-09-05T00:24:39Z
612,loss,2026-09-05T00:24:47Z
215,nochange,2026-09-05T00:24:48Z
192,nochange,2026-09-05T00:24:50Z
534,nochange,2026-09-05T00:24:51Z
56,nochange,2026-09-05T00:24:52Z
446,nochange,2026-09-05T00:24:53Z
589,nochange,2026-09-05T00:24:54Z
813,nochange,2026-09-05T00:24:56Z
1114,nochange,2026-09-05T00:24:57Z
5,nochange,2026-09-05T00:24:57Z
161,nochange,2026-09-05T00:25:00Z
773,nochange,2026-09-05T00:25:01Z
457,nochange,2026-09-05T00:25:02Z
558,nochange,2026-09-05T00:25:03Z
1252,nochange,2026-09-05T00:25:05Z
748,nochange,2026-09-05T00:25:06Z
156,nochange,2026-09-05T00:25:07Z
278,nochange,2026-09-05T00:25:08Z
1253,nochange,2026-09-05T00:25:09Z
497,nochange,2026-09-05T00:25:10Z
500,nochange,2026-09-05T00:25:11Z
1191,nochange,2026-09-05T00:25:16Z
259,nochange,2026-09-05T00:25:17Z
292,loss,2026-09-05T00:25:19Z
704,nochange,2026-09-05T00:25:20Z
1175,nochange,2026-09-05T00:25:22Z
1304,nochange,2026-09-05T00:25:22Z
146,nochange,2026-09-05T00:25:24Z
329,nochange,2026-09-05T00:25:26Z
1031,nochange,2026-09-05T00:25:28Z
1197,nochange,2026-09-05T00:25:36Z
1034,nochange,2026-09-05T00:27:02Z
357,nochange,2026-09-05T00:27:05Z
905,nochange,2026-09-05T00:27:06Z
1235,nochange,2026-09-05T00:27:08Z
165,nochange,2026-09-05T00:27:09Z
1214,nochange,2026-09-05T00:27:12Z
395,nochange,2026-09-05T00:27:15Z
1179,nochange,2026-09-05T00:27:17Z
344,nochange,2026-09-05T00:27:20Z
1220,nochange,2026-09-05T00:27:21Z
627,nochange,2026-09-05T00:27:22Z
9,loss,2026-09-05T00:27:28Z
571,nochange,2026-09-05T00:27:29Z
532,nochange,2026-09-05T00:27:30Z
726,nochange,2026-09-05T00:27:31Z
1126,nochange,2026-09-05T00:27:32Z
621,nochange,2026-09-05T00:27:34Z
331,nochange,2026-09-05T00:27:34Z
1043,nochange,2026-09-05T00:27:35Z
723,nochange,2026-09-05T00:27:36Z
826,nochange,2026-09-05T00:27:37Z
261,nochange,2026-09-05T00:27:37Z
299,nochange,2026-09-05T00:27:38Z
955,nochange,2026-09-05T00:27:40Z
1109,nochange,2026-09-05T00:27:41Z
201,nochange,2026-09-05T00:27:42Z
1107,nochange,2026-09-05T00:27:44Z
549,unsure,2026-09-05T00:27:46Z
1285,nochange,2026-09-05T00:27:47Z
359,nochange,2026-09-05T00:27:48Z
1226,nochange,2026-09-05T00:27:49Z
469,loss,2026-09-05T00:27:51Z
1251,nochange,2026-09-05T00:27:53Z
609,nochange,2026-09-05T00:27:53Z
994,unsure,2026-09-05T00:27:56Z
1054,nochange,2026-09-05T00:27:57Z
1261,nochange,2026-09-05T00:27:57Z
1282,nochange,2026-09-05T00:27:58Z
909,unsure,2026-09-05T00:28:01Z
246,nochange,2026-09-05T00:28:05Z
229,nochange,2026-09-05T00:28:06Z
468,nochange,2026-09-05T00:28:07Z
1156,nochange,2026-09-05T00:28:09Z
811,nochange,2026-09-05T00:28:09Z
345,nochange,2026-09-05T00:28:11Z
561,nochange,2026-09-05T00:28:12Z
820,nochange,2026-09-05T00:28:21Z
347,nochange,2026-09-05T00:28:22Z
225,nochange,2026-09-05T00:28:23Z
72,nochange,2026-09-05T00:28:24Z
1299,nochange,2026-09-05T00:28:25Z
614,nochange,2026-09-05T00:28:34Z
1058,nochange,2026-09-05T00:28:35Z
451,undo,2026-09-05T00:28:38Z
1058,undo,2026-09-05T00:28:38Z
614,undo,2026-09-05T00:28:39Z
1299,nochange,2026-09-05T00:28:40Z
614,unsure,2026-09-05T00:28:41Z
1058,nochange,2026-09-05T00:28:44Z
451,nochange,2026-09-05T00:28:45Z
657,unsure,2026-09-05T00:28:53Z
560,loss,2026-09-05T00:28:55Z
302,nochange,2026-09-05T00:28:56Z
484,nochange,2026-09-05T00:28:57Z
1232,nochange,2026-09-05T00:28:58Z
688,nochange,2026-09-05T00:29:00Z
1141,nochange,2026-09-05T00:29:01Z
868,nochange,2026-09-05T00:29:02Z
1103,nochange,2026-09-05T00:29:03Z
550,nochange,2026-09-05T00:29:04Z
1063,nochange,2026-09-05T00:29:05Z
168,nochange,2026-09-05T00:29:06Z
617,nochange,2026-09-05T00:29:07Z
889,nochange,2026-09-05T00:29:08Z
1275,nochange,2026-09-05T00:29:09Z
69,nochange,2026-09-05T00:29:10Z
756,nochange,2026-09-05T00:29:11Z
884,nochange,2026-09-05T00:29:12Z
101,nochange,2026-09-05T00:29:13Z
1169,nochange,2026-09-05T00:29:14Z
817,nochange,2026-09-05T00:29:15Z
768,gain,2026-09-05T00:29:18Z
1123,loss,2026-09-05T00:29:43Z
823,nochange,2026-09-05T00:29:44Z
879,nochange,2026-09-05T00:29:45Z
287,nochange,2026-09-05T00:29:47Z
1224,nochange,2026-09-05T00:29:49Z
343,nochange,2026-09-05T00:29:50Z
105,nochange,2026-09-05T00:29:51Z
791,nochange,2026-09-05T00:29:52Z
1062,nochange,2026-09-05T00:29:53Z
906,nochange,2026-09-05T00:29:54Z
408,nochange,2026-09-05T00:29:56Z
396,nochange,2026-09-05T00:29:58Z
217,nochange,2026-09-05T00:30:05Z
606,nochange,2026-09-05T00:30:07Z
89,nochange,2026-09-05T00:30:09Z
1041,nochange,2026-09-05T00:30:09Z
1119,nochange,2026-09-05T00:30:10Z
307,undo,2026-09-05T00:30:12Z
1119,nochange,2026-09-05T00:30:20Z
307,nochange,2026-09-05T00:30:22Z
158,nochange,2026-09-05T00:30:23Z
733,unsure,2026-09-05T00:30:25Z
346,unsure,2026-09-05T00:31:02Z
829,nochange,2026-09-05T00:31:03Z
1014,nochange,2026-09-05T00:31:04Z
619,undo,2026-09-05T00:31:07Z
1014,nochange,2026-09-05T00:31:09Z
619,nochange,2026-09-05T00:31:10Z
376,unsure,2026-09-05T00:31:12Z
230,nochange,2026-09-05T00:31:14Z
1,nochange,2026-09-05T00:31:17Z
632,nochange,2026-09-05T00:31:18Z
623,nochange,2026-09-05T00:31:19Z
736,nochange,2026-09-05T00:31:21Z
409,nochange,2026-09-05T00:31:22Z
1153,nochange,2026-09-05T00:31:23Z
49,nochange,2026-09-05T00:31:30Z
348,nochange,2026-09-05T00:31:32Z
356,nochange,2026-09-05T00:31:34Z
1244,undo,2026-09-05T00:31:36Z
356,loss,2026-09-05T00:31:37Z
1244,nochange,2026-09-05T00:31:38Z
333,nochange,2026-09-05T00:31:39Z
943,nochange,2026-09-05T00:31:40Z
715,nochange,2026-09-05T00:31:42Z
735,nochange,2026-09-05T00:31:43Z
118,nochange,2026-09-05T00:31:45Z
1145,nochange,2026-09-05T00:31:46Z
926,nochange,2026-09-05T00:31:47Z
1059,nochange,2026-09-05T00:31:48Z
684,nochange,2026-09-05T00:31:49Z
673,nochange,2026-09-05T00:31:50Z
771,nochange,2026-09-05T00:31:51Z
1006,nochange,2026-09-05T00:31:52Z
1198,nochange,2026-09-05T00:31:53Z
377,nochange,2026-09-05T00:31:54Z
196,loss,2026-09-05T00:31:57Z
824,nochange,2026-09-05T00:31:58Z
126,nochange,2026-09-05T00:32:02Z
992,nochange,2026-09-05T00:32:03Z
1104,nochange,2026-09-05T00:32:06Z
846,nochange,2026-09-05T00:32:07Z
305,nochange,2026-09-05T00:32:08Z
777,nochange,2026-09-05T00:32:10Z
770,nochange,2026-09-05T00:32:12Z
234,nochange,2026-09-05T00:32:13Z
1216,nochange,2026-09-05T00:32:14Z
65,loss,2026-09-05T00:32:16Z
886,nochange,2026-09-05T00:32:17Z
319,nochange,2026-09-05T00:32:18Z
418,nochange,2026-09-05T00:32:19Z
900,nochange,2026-09-05T00:32:22Z
658,nochange,2026-09-05T00:32:23Z
1093,nochange,2026-09-05T00:32:24Z
1017,nochange,2026-09-05T00:32:24Z
90,nochange,2026-09-05T00:32:26Z
1002,nochange,2026-09-05T00:32:27Z
64,nochange,2026-09-05T00:32:28Z
1195,nochange,2026-09-05T00:32:29Z
1142,nochange,2026-09-05T00:32:30Z
316,nochange,2026-09-05T00:32:32Z
