#param,value
#ref,D:\edmonds-pipeline\Imagery\ccap_2016_hires_lc.tif
#prob,G:\My Drive\treedata\phase4\masks\edmonds_canopy_prob_2002_citywide_rgb.tif
#thresh,0.5
#forest_codes,9 10 11
#stable_with,
#denominator,full_forest
#chm,D:\edmonds-pipeline\Imagery\lidar_snoh_chm.tif

metric,tp_mean,tp_std,fn_mean,fn_std,delta,n_tp,n_fn
prob,0.6769,0.0956,0.2003,0.1278,-0.4766,41530958,31721091
R,81.8942,35.0611,100.4467,45.7748,18.5525,41530958,31721091
G,92.4271,37.6494,104.332,45.5862,11.9049,41530958,31721091
B,72.4731,27.8661,88.2677,39.8975,15.7946,41530958,31721091
brightness,82.2648,33.3326,97.6821,43.4101,15.4173,41530958,31721091
saturation,0.2394,0.085,0.1911,0.0893,-0.0483,41530958,31721091
NDVI,nan,nan,nan,nan,nan,0,0
GRVI,0.0666,0.05,0.024,0.0507,-0.0426,41530958,31721091
height_m,24.914,10.5483,13.9032,8.9402,-11.0108,41530958,31721091

forest_px,73252049,tp,41530958,fn,31721091,recall,0.567,indep_cells,26122060,denominator,full_forest
