group,kind,px,area_pct,canopy_call_rate,ref,prob,thresh,ts
forest,canopy,4688052866,28.389,0.3115,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2024_trend8_2024.tif,0.5043,2026-09-10 14:29:36
wetland,canopy,46286108,0.28,0.5451,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2024_trend8_2024.tif,0.5043,2026-09-10 14:29:36
scrub,canopy,390304014,2.364,0.0817,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2024_trend8_2024.tif,0.5043,2026-09-10 14:29:36
grass,non-canopy,2841774233,17.209,0.0241,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2024_trend8_2024.tif,0.5043,2026-09-10 14:29:36
cropland,non-canopy,0,0.0,nan,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2024_trend8_2024.tif,0.5043,2026-09-10 14:29:36
developed,non-canopy,5007841948,30.325,0.0136,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2024_trend8_2024.tif,0.5043,2026-09-10 14:29:36
barren,non-canopy,192535478,1.166,0.0306,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2024_trend8_2024.tif,0.5043,2026-09-10 14:29:36
emergent_wetland,non-canopy,57125474,0.346,0.3218,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2024_trend8_2024.tif,0.5043,2026-09-10 14:29:36
water,non-canopy,3289799487,19.922,0.0009,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2024_trend8_2024.tif,0.5043,2026-09-10 14:29:36
other,non-canopy,0,0.0,nan,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2024_trend8_2024.tif,0.5043,2026-09-10 14:29:36
