group,kind,px,area_pct,canopy_call_rate,ref,prob,thresh,ts
forest,canopy,6725148,33.943,0.6489,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2011s_wb18_2011s_base.tif,0.4206,2026-09-10 04:40:08
wetland,canopy,97250,0.491,0.9269,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2011s_wb18_2011s_base.tif,0.4206,2026-09-10 04:40:08
scrub,canopy,706206,3.564,0.1321,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2011s_wb18_2011s_base.tif,0.4206,2026-09-10 04:40:08
grass,non-canopy,3887768,19.622,0.126,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2011s_wb18_2011s_base.tif,0.4206,2026-09-10 04:40:08
cropland,non-canopy,0,0.0,nan,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2011s_wb18_2011s_base.tif,0.4206,2026-09-10 04:40:08
developed,non-canopy,7959539,40.173,0.0316,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2011s_wb18_2011s_base.tif,0.4206,2026-09-10 04:40:08
barren,non-canopy,113086,0.571,0.086,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2011s_wb18_2011s_base.tif,0.4206,2026-09-10 04:40:08
emergent_wetland,non-canopy,268484,1.355,0.4623,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2011s_wb18_2011s_base.tif,0.4206,2026-09-10 04:40:08
water,non-canopy,55710,0.281,0.0973,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2011s_wb18_2011s_base.tif,0.4206,2026-09-10 04:40:08
other,non-canopy,0,0.0,nan,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2011s_wb18_2011s_base.tif,0.4206,2026-09-10 04:40:08
