tileset_id,label,run_tag,tile_dir,n_tiles,n_train,n_val,n_test,n_drop,split_mode,blocks,block_px,split_degraded,citywide,stride,max_tiles,tile_size,random_seed,use_hillshade,hs_source,use_vi,aux_height,coarse_val_frac,coarse_test_frac,spatial_block_size_m,canopy_autocorr_m,hard_neg_fraction,background_budget_fraction,green_grvi_threshold,citywide_tiles,ortho_name,ortho_size,label_source,label_source_size,add_canopy_mask,sample_manifest,sig_keys,id_basis,tile_list,note
e40db5526c3b,2006s,t1_2006s_add16,2006s__t1_2006s_add16,49,40,9,0,0,degraded_random,4,1500,True,True,128,,512,42,False,chm,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2006_snoh_1m_rgb.tif,218544136,,,"{""mtime"":1788323354,""path"":""/content/drive/MyDrive/treedata/phase4/labels_corrected/add_chm2016.tif"",""size"":13284346}","{""mtime"":1788325219,""path"":""/content/drive/MyDrive/treedata/phase4/qc/sample_tiles_2006s.csv"",""size"":1746}","add_canopy_mask,background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,sample_manifest,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/e40db5526c3b.csv,
d219f4d84a6a,2006s,t1_2006s_base,2006s__t1_2006s_base,49,40,9,0,0,degraded_random,4,1500,True,True,128,,512,42,False,chm,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2006_snoh_1m_rgb.tif,218544136,,,,"{""mtime"":1788325219,""path"":""/content/drive/MyDrive/treedata/phase4/qc/sample_tiles_2006s.csv"",""size"":1746}","background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,sample_manifest,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/d219f4d84a6a.csv,
a48b358e09c4,2006s,t1_2006s_in05,2006s__t1_2006s_in05,49,40,9,0,0,degraded_random,4,1500,True,True,128,,512,42,True,chm2005,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2006_snoh_1m_rgb.tif,218544136,,,,"{""mtime"":1788325219,""path"":""/content/drive/MyDrive/treedata/phase4/qc/sample_tiles_2006s.csv"",""size"":1746}","background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,sample_manifest,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/a48b358e09c4.csv,
7aca77a79981,2006s,t1_2006s_in16,2006s__t1_2006s_in16,49,40,9,0,0,degraded_random,4,1500,True,True,128,,512,42,True,chm2,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2006_snoh_1m_rgb.tif,218544136,,,,"{""mtime"":1788325219,""path"":""/content/drive/MyDrive/treedata/phase4/qc/sample_tiles_2006s.csv"",""size"":1746}","background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,sample_manifest,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/7aca77a79981.csv,
537d37720fd4,2007,,2007,567,202,164,201,0,,,,,True,256,,512,42,True,chm,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,,,,,,,"background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,random_seed,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/537d37720fd4.csv,
6c52f5610cbd,2009,,2009,613,271,155,187,0,,,,,True,256,,512,42,True,chm,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2009_king_rgb.tif,3000263130,,,"{""mtime"":1787881549,""path"":""/content/drive/MyDrive/treedata/phase4/labels_corrected/add_hybrid_lidar_2009.tif"",""size"":15192017}",,"add_canopy_mask,background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/6c52f5610cbd.csv,
179175869169,2009,chm2_v1,2009__chm2_v1,624,274,164,186,0,,,,,True,256,,512,42,True,chm2,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2009_king_rgb.tif,3000263130,,,,,"background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/179175869169.csv,
2d58bab8c2b9,2009,corrupt10,2009__corrupt10,600,233,201,166,0,,,,,True,256,,512,42,True,chm,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2009_king_rgb.tif,3000263130,,,"{""mtime"":1787965290,""path"":""/content/drive/MyDrive/treedata/phase4/labels_corrected/add_corrupt10_2009.tif"",""size"":16737294}",,"add_canopy_mask,background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/2d58bab8c2b9.csv,
d4f5a5d332a3,2009,corrupt25,2009__corrupt25,614,284,173,157,0,,,,,True,256,,512,42,True,chm,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2009_king_rgb.tif,3000263130,,,"{""mtime"":1787965290,""path"":""/content/drive/MyDrive/treedata/phase4/labels_corrected/add_corrupt25_2009.tif"",""size"":20211044}",,"add_canopy_mask,background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/d4f5a5d332a3.csv,
76022404b198,2009,corrupt50,2009__corrupt50,604,257,166,181,0,,,,,True,256,,512,42,True,chm,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2009_king_rgb.tif,3000263130,,,"{""mtime"":1787965296,""path"":""/content/drive/MyDrive/treedata/phase4/labels_corrected/add_corrupt50_2009.tif"",""size"":24521458}",,"add_canopy_mask,background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/76022404b198.csv,
240e0737aa4b,2009,nodecW,2009__nodecW,613,266,167,180,0,,,,,True,256,,512,42,False,chm,False,,0.2,0.2,1500.0,520.0,0.15,0.22,0.08,800,2009_king_rgb.tif,3000263130,,,"{""mtime"":1788006312,""path"":""/content/drive/MyDrive/treedata/phase4/labels_corrected/add_nodecW_2009.tif"",""size"":5148529}",,"add_canopy_mask,background_budget_fraction,canopy_autocorr_m,citywide,citywide_tiles,coarse_test_frac,coarse_val_frac,green_grvi_threshold,hard_neg_fraction,hs_source,label,max_tiles,ortho,random_seed,spatial_block_size_m,stride,tile_size,use_hillshade,use_vi",meta.json,phase4/qc/tilesets/240e0737aa4b.csv,
