unit_id,blind_order,is_control,stratum_id,stratum_name,tier,gap_left_yr,gap_right_yr,gap_years,gap_bucket,size_class,bracket_years,epoch_prev,epoch_filled,epoch_next,x,y,epsg,row,col,n_cells,area_m2,equiv_diam_m,control_flank,adjudicable,adjudicator,adjudicator_dyear,adjudicate,present_in_filled_epoch,notes
C2023_02961_01076,65,1,32,REVIEW|1-2|5-6,REVIEW,1,1,1,1-2,5-6,2,2022,2023,2024,547241.0,5294995.0,26910,2961,1076,7,28.0,5.97,next,0,,,0,,
F2022_02923_01287,66,0,32,REVIEW|1-2|5-6,REVIEW,1,1,1,1-2,5-6,2,2021,2022,2023,547663.0,5295071.0,26910,2923,1287,7,28.0,5.97,,0,,,0,,
F2020_01381_01619,67,0,34,REVIEW|1-2|8-10,REVIEW,1,1,1,1-2,8-10,2,2019,2020,2021,548327.0,5298155.0,26910,1381,1619,13,52.0,8.14,,0,,,0,,
F2013_03978_01604,68,0,6,HEAL|1-2|6-8,HEAL,2,2,2,1-2,6-8,4,2011s,2013,2015,548297.0,5292961.0,26910,3978,1604,8,32.0,6.38,,0,,,0,,
F2020_04149_00909,69,0,34,REVIEW|1-2|8-10,REVIEW,1,1,1,1-2,8-10,2,2019,2020,2021,546907.0,5292619.0,26910,4149,909,15,60.0,8.74,,0,,,0,,
C2015_02897_01166,70,1,6,HEAL|1-2|6-8,HEAL,2,1,2,1-2,6-8,3,2013,2015,2016,547421.0,5295123.0,26910,2897,1166,8,32.0,6.38,prev,1,lidar_chm2_2016_50cm,-1,0,,
F2020_00514_02647,71,0,34,REVIEW|1-2|8-10,REVIEW,1,1,1,1-2,8-10,2,2019,2020,2021,550383.0,5299889.0,26910,514,2647,19,76.0,9.84,,0,,,0,,
F2020_01436_02201,72,0,35,REVIEW|1-2|10-14,REVIEW,1,1,1,1-2,10-14,2,2019,2020,2021,549491.0,5298045.0,26910,1436,2201,34,136.0,13.16,,0,,,0,,
C2023_03279_00637,73,1,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2022,2023,2024,546363.0,5294359.0,26910,3279,637,8,32.0,6.38,next,0,,,0,,
F2020_03478_00879,74,0,35,REVIEW|1-2|10-14,REVIEW,1,1,1,1-2,10-14,2,2019,2020,2021,546847.0,5293961.0,26910,3478,879,22,88.0,10.59,,0,,,0,,
F2020_00717_02466,75,0,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2019,2020,2021,550021.0,5299483.0,26910,717,2466,8,32.0,6.38,,0,,,0,,
C2023_03944_00846,76,1,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2022,2023,2024,546781.0,5293029.0,26910,3944,846,10,40.0,7.14,next,0,,,0,,
C2016_03245_00649,77,1,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2015,2016,2017,546387.0,5294427.0,26910,3245,649,8,32.0,6.38,prev,1,lidar_chm2_2016_50cm,0,1,,
C2019_01675_02090,78,1,32,REVIEW|1-2|5-6,REVIEW,2,1,2,1-2,5-6,3,2017,2019,2020,549269.0,5297567.0,26910,1675,2090,7,28.0,5.97,prev,0,,,0,,
F2017_02384_02277,79,0,33,REVIEW|1-2|6-8,REVIEW,1,2,2,1-2,6-8,3,2016,2017,2019,549643.0,5296149.0,26910,2384,2277,11,44.0,7.48,,1,lidar_chm2_2016_50cm,1,0,,
F2017_03138_01024,80,0,33,REVIEW|1-2|6-8,REVIEW,1,2,2,1-2,6-8,3,2016,2017,2019,547137.0,5294641.0,26910,3138,1024,11,44.0,7.48,,1,lidar_chm2_2016_50cm,1,0,,
C2017_00877_02277,81,1,33,REVIEW|1-2|6-8,REVIEW,1,2,2,1-2,6-8,3,2016,2017,2019,549643.0,5299163.0,26910,877,2277,9,36.0,6.77,next,1,lidar_chm2_2016_50cm,1,0,,
C2019_00042_02291,82,1,33,REVIEW|1-2|6-8,REVIEW,2,1,2,1-2,6-8,3,2017,2019,2020,549671.0,5300833.0,26910,42,2291,9,36.0,6.77,next,0,,,0,,
C2022_02089_01957,83,1,35,REVIEW|1-2|10-14,REVIEW,1,1,1,1-2,10-14,2,2021,2022,2023,549003.0,5296739.0,26910,2089,1957,36,144.0,13.54,prev,0,,,0,,
F2023_00174_02596,84,0,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2022,2023,2024,550281.0,5300569.0,26910,174,2596,10,40.0,7.14,,0,,,0,,
C2023_03072_00631,85,1,33,REVIEW|1-2|6-8,REVIEW,1,1,1,1-2,6-8,2,2022,2023,2024,546351.0,5294773.0,26910,3072,631,8,32.0,6.38,prev,0,,,0,,
