band_lo_m,band_hi_m,recall,recalled,missed
0,2,0.043,43012,958002
2,5,0.1158,619395,4730701
5,10,0.3099,3523810,7847511
10,15,0.4484,4121276,5069497
15,20,0.5785,5343591,3893221
20,25,0.6643,6142237,3103771
25,30,0.716,5928073,2350883
30,100,0.7759,11994270,3464621
