rank,lon,lat,missed_px,forest_px,fn_frac
1,-122.32933,47.786864,36092,43289,0.8337
2,-122.363663,47.825603,34778,46990,0.7401
3,-122.330704,47.790555,32750,37581,0.8715
4,-122.352676,47.814538,32741,38016,0.8612
5,-122.384262,47.802548,31760,42255,0.7516
6,-122.389755,47.789632,31538,65413,0.4821
7,-122.351303,47.826525,31479,36836,0.8546
8,-122.35405,47.779482,31281,49328,0.6341
9,-122.352676,47.827447,31270,33968,0.9206
10,-122.365036,47.825603,31091,36249,0.8577
11,-122.34581,47.820071,30620,37555,0.8153
12,-122.352676,47.831135,30543,41293,0.7397
