crown_id,diameter_m,raw_states,healed_states,valid_from,valid_to,class,confidence,epochs_healed
75360,9.8,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75361,15.06,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75362,5.71,APPPAAPP,APPPAAPP,2011s,2024,GAINED,RAW,
75363,6.63,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75364,7.85,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75365,8.32,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75366,17.29,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75367,11.59,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75368,7.32,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75369,5.95,?PPPPPPP,?PPPPPPP,2011s,2024,PERSISTENT,RAW,
75370,8.56,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75371,6.84,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75372,9.9,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75373,8.5,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75374,8.21,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75375,6.64,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75376,10.25,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75377,12.6,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75378,12.51,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75379,15.75,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75380,12.21,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75381,5.62,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75382,5.19,AAAAAAAP,AAAAAAAP,2024,2024,GAINED,RAW,
75383,8.79,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75384,9.22,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75385,8.11,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75386,9.22,A?AAAAPP,A?AAAAPP,2021,2024,PERSISTENT,RAW,
75387,3.84,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75388,12.86,?PPAPPPP,?PPPPPPP,2011s,2024,PERSISTENT,HEALED,2015
75389,4.45,APAAAPPA,APAAAPPA,2011s,2021,LOST,TERMINAL,
75390,5.51,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75391,14.69,?PP?PPPP,?PPPPPPP,2011s,2024,PERSISTENT,HEALED,2015
75392,8.49,PPPAPPPP,PPPAPPPP,2009,2024,FLICKERING,RAW,
75393,4.24,APAAPAAP,APAAPAAP,2011s,2024,GAINED,RAW,
75394,6.97,AAAA?PAA,AAAA?PAA,2019,2019,LOST,RAW,
75395,6.27,PPAAPPPP,PPAAPPPP,2009,2024,FLICKERING,RAW,
75396,7.95,PPPAPPPP,PPPPPPPP,2009,2024,PERSISTENT,HEALED,2015
75397,6.18,PP?APPPP,PP?APPPP,2009,2024,FLICKERING,RAW,
75398,6.71,APAAAAPP,APAAAAPP,2011s,2024,GAINED,RAW,
75399,4.84,?PAA?APP,?PAA?APP,2011s,2024,FLICKERING,RAW,
75400,6.74,PPPAP?PP,PPPAPPPP,2009,2024,FLICKERING,BLIND,2019
75401,6.25,PPPAPPPA,PPPPPPPA,2009,2021,LOST,TERMINAL,2015
75402,9.65,PPPAPPPP,PPPPPPPP,2009,2024,PERSISTENT,HEALED,2015
75403,6.64,PPPPP?PA,PPPPP?PA,2009,2021,LOST,TERMINAL,
75404,10.66,PPP?P?PP,PPP?PPPP,2009,2024,PERSISTENT,BLIND,2019
75405,5.87,?PPPPAPP,?PPPPAPP,2011s,2024,FLICKERING,RAW,
75406,5.86,APPPPPPP,APPPPPPP,2011s,2024,GAINED,RAW,
75407,1.79,AAPAAPPA,AAPAAPPA,2013,2021,LOST,TERMINAL,
75408,4.12,PPPAPPPA,PPPAPPPA,2009,2021,LOST,TERMINAL,
75409,8.28,PPPPPAPP,PPPPP?PP,2009,2024,PERSISTENT,BLIND,2019
75410,9.23,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75411,3.82,APAAAAAA,APAAAAAA,2011s,2011s,LOST,RAW,
75412,10.81,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75413,7.96,?PAAPPPP,?PAAPPPP,2011s,2024,FLICKERING,RAW,
75414,6.82,?APAAPPA,?APAAPPA,2013,2021,LOST,TERMINAL,
75415,6.73,APPAPPPP,APPPPPPP,2011s,2024,GAINED,HEALED,2015
75416,6.31,AAAAAAPP,AAAAAAPP,2021,2024,GAINED,RAW,
75418,8.41,PPPAPPPP,PPPPPPPP,2009,2024,PERSISTENT,HEALED,2015
75419,6.43,PAAAAAPP,PAAAAAPP,2009,2024,FLICKERING,RAW,
75420,3.24,APAAAPAA,APAAAPAA,2011s,2019,LOST,RAW,
75421,6.59,AAPAPP?A,AAPAPP?A,2013,2019,GAINED,RAW,
75422,4.85,APAAPAAA,APAAPAAA,2011s,2016,LOST,RAW,
75423,8.25,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75424,3.47,AAPPPAPP,AAPPP?PP,2013,2024,GAINED,BLIND,2019
75425,5.03,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75426,10.91,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75427,8.89,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75428,12.47,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75429,7.75,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75430,8.88,PPPPPPPA,PPPPPPPA,2009,2021,LOST,TERMINAL,
75431,6.89,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75432,3.06,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75433,10.88,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75434,8.5,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75435,6.39,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75436,4.17,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75437,6.83,PPPPP?PP,PPPPPPPP,2009,2024,PERSISTENT,BLIND,2019
75438,3.46,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75439,6.21,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75440,8.72,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75441,6.75,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75442,16.12,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75443,7.07,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75444,6.6,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75445,12.8,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75446,17.68,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75447,8.57,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75448,8.94,PPPPPAPP,PPPPPAPP,2009,2024,FLICKERING,RAW,
75449,13.86,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75450,10.39,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75451,9.12,PPP?PPPA,PPPPPPPA,2009,2021,LOST,TERMINAL,2015
75452,9.13,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75453,11.13,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75454,7.5,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75455,13.57,??PPPPPP,??PPPPPP,2013,2024,PERSISTENT,RAW,
75456,4.92,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75457,14.14,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75458,14.97,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75459,10.92,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
75460,6.51,PPPPPPPP,PPPPPPPP,2009,2024,PERSISTENT,RAW,
