rank,lon,lat,missed_px,forest_px,fn_frac
1,-122.378597,47.789748,58111,61488,0.9451
2,-122.331219,47.813961,57992,65536,0.8849
3,-122.331219,47.794822,56622,58549,0.9671
4,-122.366581,47.781212,55728,60874,0.9155
5,-122.356281,47.818111,54558,65536,0.8325
6,-122.364521,47.778905,54399,64627,0.8417
7,-122.339802,47.783519,54389,61258,0.8879
8,-122.338428,47.825949,54228,64539,0.8402
9,-122.348042,47.788825,53053,63876,0.8306
10,-122.380314,47.78029,52916,59425,0.8905
11,-122.339115,47.785826,51924,54264,0.9569
12,-122.371731,47.783519,51425,60060,0.8562
