arm,auroc,auroc_lo,auroc_hi,pr_auc,best_f1_height_m,best_f1,best_j_height_m,best_j,own_valid_px,common_px,ref_canopy_px,ref_noncanopy_px
chm2,0.844798,0.836863,0.852835,0.824191,6.4,0.718769,6.8,0.544447,43742511,43594337,17644889,25949448
chm2@+2E+0N,0.823143,0.813418,0.832460,0.801065,6.4,0.697983,7.2,0.514625,43742511,43594337,17644889,25949448
chm2@-2E+0N,0.851164,0.843850,0.858630,0.831014,6.2,0.724883,6.8,0.553242,43742511,43594337,17644889,25949448
chm2@+0E+2N,0.842467,0.834244,0.850576,0.822542,6.4,0.716561,7.0,0.541431,43742483,43594337,17644889,25949448
chm2@+0E-2N,0.827518,0.818359,0.836203,0.804888,6.4,0.702139,7.2,0.520126,43742207,43594337,17644889,25949448
