group,kind,px,area_pct,canopy_call_rate,ref,prob,thresh,ts
forest,canopy,119004262,32.787,0.6102,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2002_citywide_rgb.tif,0.4988,2026-08-19 02:27:59
wetland,canopy,1282278,0.353,0.9308,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2002_citywide_rgb.tif,0.4988,2026-08-19 02:27:59
scrub,canopy,8670852,2.389,0.1358,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2002_citywide_rgb.tif,0.4988,2026-08-19 02:27:59
grass,non-canopy,62474869,17.213,0.1098,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2002_citywide_rgb.tif,0.4988,2026-08-19 02:27:59
cropland,non-canopy,0,0.0,nan,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2002_citywide_rgb.tif,0.4988,2026-08-19 02:27:59
developed,non-canopy,109042710,30.043,0.0552,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2002_citywide_rgb.tif,0.4988,2026-08-19 02:27:59
barren,non-canopy,4718375,1.3,0.0184,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2002_citywide_rgb.tif,0.4988,2026-08-19 02:27:59
emergent_wetland,non-canopy,1136470,0.313,0.1221,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2002_citywide_rgb.tif,0.4988,2026-08-19 02:27:59
water,non-canopy,56630344,15.602,0.0011,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2002_citywide_rgb.tif,0.4988,2026-08-19 02:27:59
other,non-canopy,0,0.0,nan,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2002_citywide_rgb.tif,0.4988,2026-08-19 02:27:59
