rank,lon,lat,missed_px,forest_px,fn_frac
1,-122.32933,47.786864,37842,43337,0.8732
2,-122.377396,47.779482,32582,34654,0.9402
3,-122.312851,47.800703,30880,35519,0.8694
4,-122.330704,47.795168,30657,40462,0.7577
5,-122.312851,47.797013,30558,40335,0.7576
6,-122.315598,47.814538,28162,30080,0.9362
7,-122.351303,47.811771,27805,42165,0.6594
8,-122.363663,47.787787,27693,40994,0.6755
9,-122.377396,47.780405,27613,33918,0.8141
10,-122.34993,47.818227,27372,37369,0.7325
11,-122.330704,47.790555,27105,37581,0.7212
12,-122.373276,47.80716,26918,27676,0.9726
