#param,value
#ref,D:\edmonds-pipeline\Imagery\ccap_2016_hires_lc.tif
#prob,G:\My Drive\treedata\phase4\masks\edmonds_canopy_prob_2015_citywide_rgb.tif
#thresh,0.5
#forest_codes,9 10 11
#stable_with,
#denominator,full_forest
#chm,D:\edmonds-pipeline\Imagery\lidar_snoh_chm.tif

metric,tp_mean,tp_std,fn_mean,fn_std,delta,n_tp,n_fn
prob,0.7125,0.0944,0.1749,0.1352,-0.5376,829197618,342821225
R,89.371,51.6526,82.9268,57.6347,-6.4442,829197618,342821225
G,91.6473,46.0191,85.255,50.9713,-6.3922,829197618,342821225
B,72.3081,33.9488,73.8757,38.5141,1.5676,829197618,342821225
brightness,84.4421,43.1818,80.6858,48.2174,-3.7563,829197618,342821225
saturation,0.3278,0.1666,0.3218,0.1794,-0.0061,829197618,342821225
NDVI,nan,nan,nan,nan,nan,0,0
GRVI,0.0603,0.1375,0.0709,0.1389,0.0106,829197618,342821225
height_m,23.8085,10.4646,11.2864,7.7419,-12.5221,829197618,342821225

forest_px,1172018843,tp,829197618,fn,342821225,recall,0.7075,indep_cells,26121750,denominator,full_forest
