tag,thresh,px_m,recall_strict,recall_tol1px,recall_gap,precision_strict,precision_tol1px,precision_gap,tp,fn,fp,fp_tol
t1_2006s_base,0.251968,3.2808,0.7694,0.801,0.0317,0.6314,0.7114,0.0799,461361,138315,269292,210894
t1_2006s_in16,0.271653,3.2808,0.7674,0.7986,0.0313,0.6565,0.7364,0.0798,460174,139502,240739,184773
t1_2011s_base,0.224409,1.0,0.7831,0.8035,0.0205,0.709,0.7328,0.0238,5055867,1400608,2074918,1905171
t1_2011s_in16,0.212598,1.0,0.7798,0.8038,0.024,0.7249,0.7488,0.0239,5034688,1421787,1910989,1744789
t1_2016_base,0.405511,1.0,0.7798,0.7983,0.0185,0.6794,0.7031,0.0237,5035256,1422052,2375537,2200084
t1_2016_in16,0.133858,1.0,0.7825,0.8105,0.028,0.7116,0.7354,0.0238,5052855,1404453,2048063,1878715
t1_2019n_base,0.488188,0.6,0.7567,0.7839,0.0272,0.7112,0.7572,0.046,1260363,405274,511872,430378
t1_2020_base,0.102362,0.0746,0.7039,0.7169,0.013,0.7383,0.7422,0.0039,167845637,70617069,59488638,58612066
t1_2020_in16,0.070866,0.0746,0.6592,0.6689,0.0098,0.7968,0.8005,0.0037,157186330,81276376,40096790,39365496
