arm,auroc,auroc_lo,auroc_hi,pr_auc,best_f1_height_m,best_f1,best_j_height_m,best_j,own_valid_px,common_px,ref_canopy_px,ref_noncanopy_px
chm,0.905294,0.899296,0.912332,0.871447,9.8,0.791373,9.8,0.652299,197921885,167901855,67149465,100752390
chm2,0.845340,0.837055,0.854736,0.822131,6.4,0.717058,6.8,0.543580,168411326,167901855,67149465,100752390
