band_lo_m,band_hi_m,recall,recalled,missed
0,2,0.3055,11158,25364
2,5,0.5028,208706,206421
5,10,0.6932,717574,317546
10,15,0.8447,750070,137855
15,20,0.9228,809125,67713
20,25,0.958,819656,35937
25,30,0.9751,739142,18909
30,100,0.9894,1339818,14334
