group,kind,px,area_pct,canopy_call_rate,ref,prob,thresh,ts
forest,canopy,624785,33.943,0.5484,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_wb18_2006s_in16.tif,0.552,2026-09-10 04:36:25
wetland,canopy,9037,0.491,0.7853,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_wb18_2006s_in16.tif,0.552,2026-09-10 04:36:25
scrub,canopy,65631,3.566,0.0598,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_wb18_2006s_in16.tif,0.552,2026-09-10 04:36:25
grass,non-canopy,361158,19.621,0.0644,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_wb18_2006s_in16.tif,0.552,2026-09-10 04:36:25
cropland,non-canopy,0,0.0,nan,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_wb18_2006s_in16.tif,0.552,2026-09-10 04:36:25
developed,non-canopy,739481,40.174,0.0194,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_wb18_2006s_in16.tif,0.552,2026-09-10 04:36:25
barren,non-canopy,10506,0.571,0.0,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_wb18_2006s_in16.tif,0.552,2026-09-10 04:36:25
emergent_wetland,non-canopy,24936,1.355,0.0158,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_wb18_2006s_in16.tif,0.552,2026-09-10 04:36:25
water,non-canopy,5179,0.281,0.0461,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_wb18_2006s_in16.tif,0.552,2026-09-10 04:36:25
other,non-canopy,0,0.0,nan,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2006s_wb18_2006s_in16.tif,0.552,2026-09-10 04:36:25
