group,kind,px,area_pct,canopy_call_rate,ref,prob,thresh,ts
forest,canopy,330827370,28.363,0.5463,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2020s_sectors_v1.tif,0.5,2026-08-26 02:10:37
wetland,canopy,3312796,0.284,0.743,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2020s_sectors_v1.tif,0.5,2026-08-26 02:10:37
scrub,canopy,17641778,1.512,0.1801,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2020s_sectors_v1.tif,0.5,2026-08-26 02:10:37
grass,non-canopy,234068644,20.067,0.0527,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2020s_sectors_v1.tif,0.5,2026-08-26 02:10:37
cropland,non-canopy,0,0.0,nan,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2020s_sectors_v1.tif,0.5,2026-08-26 02:10:37
developed,non-canopy,465933849,39.946,0.0498,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2020s_sectors_v1.tif,0.5,2026-08-26 02:10:37
barren,non-canopy,6830602,0.586,0.0853,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2020s_sectors_v1.tif,0.5,2026-08-26 02:10:37
emergent_wetland,non-canopy,577802,0.05,0.0242,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2020s_sectors_v1.tif,0.5,2026-08-26 02:10:37
water,non-canopy,107216777,9.192,0.0154,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2020s_sectors_v1.tif,0.5,2026-08-26 02:10:37
other,non-canopy,0,0.0,nan,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2020s_sectors_v1.tif,0.5,2026-08-26 02:10:37
