parcel,2000,2016,flicker_std_pp
Cemetery,35.55,56.23,10.34
Civic_Field,0.0,1.72,0.86
Edmonds_Stadium,53.42,58.34,2.46
Parking,0.0,0.03,0.01
Water,,0.0,nan
