point_id,stratum,stratum_name,row,col,x,y,lon,lat,model_canopy
1,1,ccap_canopy_5_15m,7345,2276,-13623251.521245982,6075614.511011455,-122.3797506,47.8118756,0
2,1,ccap_canopy_5_15m,9449,7211,-13617357.509768056,6073101.643706581,-122.3268038,47.7967138,1
3,1,ccap_canopy_5_15m,8507,2684,-13622764.235190665,6074226.701216653,-122.3753732,47.8035026,1
4,1,ccap_canopy_5_15m,5158,4703,-13620352.885813981,6078226.507587388,-122.3537117,47.8276309,0
5,1,ccap_canopy_5_15m,4975,8223,-13616148.849258296,6078445.069715141,-122.3159462,47.828949,0
6,1,ccap_canopy_5_15m,4791,7674,-13616804.535641555,6078664.826171461,-122.3218364,47.8302743,1
7,1,ccap_canopy_5_15m,9625,1327,-13624384.939056024,6072891.441878797,-122.3899323,47.7954453,1
8,1,ccap_canopy_5_15m,6570,4972,-13620031.61142947,6076540.115650847,-122.3508257,47.8174593,1
9,1,ccap_canopy_5_15m,5652,4770,-13620272.865799995,6077636.509275312,-122.3529929,47.8240725,0
10,1,ccap_canopy_5_15m,9004,6964,-13617652.508924093,6073633.119918875,-122.3294538,47.7999209,1
11,1,ccap_canopy_5_15m,9295,4450,-13620655.05094142,6073285.570305891,-122.3564261,47.7978237,0
12,1,ccap_canopy_5_15m,7672,6359,-13618375.077707103,6075223.9655700615,-122.3359448,47.8095195,1
13,1,ccap_canopy_5_15m,5650,4091,-13621083.814896958,6077638.897932446,-122.3602778,47.8240869,1
14,1,ccap_canopy_5_15m,8779,3062,-13622312.778992357,6073901.843846441,-122.3713177,47.8015424,0
15,1,ccap_canopy_5_15m,6718,2641,-13622815.591319045,6076363.355022937,-122.3758346,47.816393,0
16,1,ccap_canopy_5_15m,9811,3407,-13621900.735636756,6072669.296765342,-122.3676163,47.7941047,0
17,1,ccap_canopy_5_15m,8853,4410,-13620702.8240841,6073813.463532486,-122.3568553,47.8010091,0
18,1,ccap_canopy_5_15m,11884,3965,-13621234.300296394,6070193.453646042,-122.3616296,47.7791612,0
19,1,ccap_canopy_5_15m,6499,7634,-13616852.308784233,6076624.9129791,-122.3222655,47.8179708,0
20,1,ccap_canopy_5_15m,10822,5755,-13619096.452161543,6071461.83058415,-122.342425,47.7868173,1
21,1,ccap_canopy_5_15m,7318,5640,-13619233.799946744,6075646.757882764,-122.3436588,47.8120702,0
22,1,ccap_canopy_5_15m,7806,3569,-13621707.254408909,6075063.925542089,-122.3658782,47.8085539,1
23,1,ccap_canopy_5_15m,11870,5108,-13619869.182744363,6070210.174245981,-122.3493665,47.7792622,1
24,1,ccap_canopy_5_15m,7942,5811,-13619029.569761794,6074901.496856983,-122.3418242,47.807574,0
25,1,ccap_canopy_5_15m,8331,1141,-13624607.08416948,6074436.903044437,-122.3919278,47.8047709,1
26,1,ccap_canopy_5_15m,5221,7076,-13617518.744124595,6078151.26488767,-122.3282522,47.8271771,0
27,1,ccap_canopy_5_15m,8089,5634,-13619240.965918146,6074725.93055764,-122.3437232,47.8065147,0
28,1,ccap_canopy_5_15m,7971,3643,-13621618.874094954,6074866.861328541,-122.3650843,47.807365,0
29,1,ccap_canopy_5_15m,8137,4851,-13620176.125186073,6074668.602786426,-122.3521239,47.8061688,0
30,1,ccap_canopy_5_15m,7636,2413,-13623087.898232311,6075266.961398471,-122.3782808,47.8097789,0
31,1,ccap_canopy_5_15m,7454,5737,-13619117.95007575,6075484.329197657,-122.3426181,47.8110903,0
32,1,ccap_canopy_5_15m,7699,3782,-13621452.862424148,6075191.718698753,-122.363593,47.8093249,1
33,1,ccap_canopy_5_15m,8972,2418,-13623081.926589476,6073671.338433018,-122.3782271,47.8001515,1
34,1,ccap_canopy_5_15m,9335,5019,-13619975.477986824,6073237.797163214,-122.3503214,47.7975354,0
35,1,ccap_canopy_5_15m,9999,2079,-13623486.803973673,6072444.762994755,-122.3818642,47.7927497,0
36,1,ccap_canopy_5_15m,10400,7420,-13617107.895097561,6071965.837239405,-122.3245615,47.7898593,1
37,1,ccap_canopy_5_15m,10023,8528,-13615784.579045376,6072416.099109148,-122.3126739,47.7925767,1
38,1,ccap_canopy_5_15m,9244,7666,-13616814.09027009,6073346.481062806,-122.3219222,47.7981913,0
39,1,ccap_canopy_5_15m,10010,8057,-13616347.107800411,6072431.625380518,-122.3177272,47.7926704,0
40,1,ccap_canopy_5_15m,9336,5551,-13619340.095189203,6073236.602834647,-122.3446137,47.7975282,0
41,1,ccap_canopy_5_15m,11818,1875,-13623730.447001332,6070272.2793314615,-122.3840529,47.7796371,0
42,1,ccap_canopy_5_15m,9719,7718,-13616751.98518461,6072779.174993502,-122.3213643,47.7947678,1
43,1,ccap_canopy_5_15m,5829,6898,-13617731.334609512,6077425.1131189605,-122.3301619,47.8227975,0
44,1,ccap_canopy_5_15m,11475,1589,-13624072.024971481,6070681.9340299275,-122.3871213,47.7821099,1
45,1,ccap_canopy_5_15m,9859,5840,-13618994.934233353,6072611.9689941285,-122.341513,47.7937588,0
46,1,ccap_canopy_5_15m,4868,6712,-13617953.479722967,6078572.862871805,-122.3321575,47.8297197,1
47,1,ccap_canopy_5_15m,7467,5511,-13619387.868331881,6075468.802926287,-122.3450428,47.8109966,0
48,1,ccap_canopy_5_15m,6965,4034,-13621151.891625274,6076068.355866899,-122.3608893,47.8146135,0
49,1,ccap_canopy_5_15m,4911,7163,-13617414.83753927,6078521.506743426,-122.3273188,47.82941,0
50,1,ccap_canopy_5_15m,10635,2442,-13623053.26270387,6071685.170026171,-122.3779696,47.7881653,0
51,1,ccap_canopy_5_15m,8525,1634,-13624018.28018597,6074205.203302448,-122.3866385,47.8033729,1
52,1,ccap_canopy_5_15m,9406,3390,-13621921.039222395,6073152.999834959,-122.3677987,47.7970237,0
53,1,ccap_canopy_5_15m,8428,8327,-13616024.639087332,6074321.053173442,-122.3148304,47.8040719,1
54,1,ccap_canopy_5_15m,7347,7895,-13616540.589028258,6075612.122354322,-122.3194653,47.8118612,1
55,1,ccap_canopy_5_15m,8505,4237,-13620909.442926183,6074229.089873787,-122.3587114,47.803517,0
56,1,ccap_canopy_5_15m,8677,7723,-13616746.013541775,6074023.66536027,-122.3213106,47.8022775,0
57,1,ccap_canopy_5_15m,10201,3745,-13621497.052581126,6072203.50862423,-122.3639899,47.7912937,1
58,1,ccap_canopy_5_15m,9428,7186,-13617387.36798223,6073126.724606486,-122.327072,47.7968652,1
59,1,ccap_canopy_5_15m,6540,6698,-13617970.200322904,6076575.945507855,-122.3323077,47.8176754,1
60,1,ccap_canopy_5_15m,6397,5753,-13619098.840818677,6076746.73449293,-122.3424464,47.8187056,0
61,1,ccap_canopy_5_15m,8964,4171,-13620988.268611602,6073680.893061554,-122.3594195,47.8002092,1
62,1,ccap_canopy_5_15m,5716,3632,-13621632.01170919,6077560.0722470265,-122.3652023,47.8236115,0
63,1,ccap_canopy_5_15m,7843,8654,-13615634.093645938,6075019.7353851115,-122.3113221,47.8082873,0
64,1,ccap_canopy_5_15m,6709,2752,-13622683.020848112,6076374.103980039,-122.3746437,47.8164579,0
65,1,ccap_canopy_5_15m,8846,1172,-13624570.059983904,6073821.823832455,-122.3915952,47.8010596,0
66,1,ccap_canopy_5_15m,8385,2993,-13622395.187663475,6074372.409301821,-122.372058,47.8043817,0
67,1,ccap_canopy_5_15m,9074,3296,-13622033.306107689,6073549.516919189,-122.3688072,47.7994165,0
68,1,ccap_canopy_5_15m,7472,3581,-13621692.922466107,6075462.831283452,-122.3657495,47.8109606,1
69,1,ccap_canopy_5_15m,6296,4882,-13620139.101000497,6076867.361678192,-122.3517913,47.8194333,0
70,1,ccap_canopy_5_15m,8136,1924,-13623671.924901552,6074669.797114993,-122.3835272,47.806176,1
71,1,ccap_canopy_5_15m,7465,5967,-13618843.25450535,6075471.191583421,-122.3401505,47.811011,0
72,1,ccap_canopy_5_15m,8233,5733,-13619122.727390017,6074553.947243999,-122.342661,47.8054771,1
73,1,ccap_canopy_5_15m,7802,4740,-13620308.695657004,6075068.702856357,-122.3533148,47.8085828,0
74,1,ccap_canopy_5_15m,10975,1405,-13624291.781427803,6071279.098313406,-122.3890954,47.7857144,1
75,1,ccap_canopy_5_15m,8800,1622,-13624032.612128772,6073876.762946535,-122.3867673,47.8013911,0
76,2,ccap_canopy_other,9909,2151,-13623400.812316854,6072552.252565781,-122.3810917,47.7933984,1
77,2,ccap_canopy_other,5083,5177,-13619786.774073245,6078316.0822299095,-122.3486263,47.8281711,0
78,2,ccap_canopy_other,5632,3130,-13622231.564649804,6077660.395846651,-122.3705882,47.8242165,0
79,2,ccap_canopy_other,10495,2329,-13623188.221831935,6071852.3760255445,-122.379182,47.7891745,1
80,2,ccap_canopy_other,5058,4993,-13620006.530529564,6078345.940444084,-122.3506004,47.8283511,0
81,2,ccap_canopy_other,8085,4425,-13620684.909155594,6074730.707871908,-122.3566943,47.8065436,1
