arm,auroc,auroc_lo,auroc_hi,pr_auc,best_f1_height_m,best_f1,best_j_height_m,best_j,own_valid_px,common_px,ref_canopy_px,ref_noncanopy_px
chm,0.905770,0.899846,0.912819,0.872118,9.8,0.792176,9.8,0.653382,49480525,41880877,16768579,25112298
chm2,0.842717,0.834310,0.852328,0.819486,6.4,0.714721,6.8,0.540047,42103555,41880877,16768579,25112298
chm@-2E+0N,0.902034,0.896183,0.908714,0.866975,9.8,0.787605,9.8,0.645753,49481447,41880877,16768579,25112298
chm2@-2E+0N,0.849384,0.841497,0.857850,0.826780,6.2,0.721332,6.8,0.549454,42100775,41880877,16768579,25112298
chm@-4E+0N,0.886612,0.880469,0.893673,0.848121,9.6,0.770946,10.4,0.618147,49482364,41880877,16768579,25112298
chm2@-4E+0N,0.835992,0.827813,0.844816,0.813352,6.2,0.710032,6.8,0.533109,42097995,41880877,16768579,25112298
