group,kind,px,area_pct,canopy_call_rate,ref,prob,thresh,ts
forest,canopy,18761707,34.734,0.5868,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_fullext_sectors_v1.tif,0.5,2026-08-27 00:19:21
wetland,canopy,169703,0.314,0.8848,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_fullext_sectors_v1.tif,0.5,2026-08-27 00:19:21
scrub,canopy,1818873,3.367,0.053,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_fullext_sectors_v1.tif,0.5,2026-08-27 00:19:21
grass,non-canopy,10527037,19.489,0.0295,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_fullext_sectors_v1.tif,0.5,2026-08-27 00:19:21
cropland,non-canopy,0,0.0,nan,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_fullext_sectors_v1.tif,0.5,2026-08-27 00:19:21
developed,non-canopy,17104565,31.666,0.0323,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_fullext_sectors_v1.tif,0.5,2026-08-27 00:19:21
barren,non-canopy,921985,1.707,0.0061,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_fullext_sectors_v1.tif,0.5,2026-08-27 00:19:21
emergent_wetland,non-canopy,274172,0.508,0.0322,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_fullext_sectors_v1.tif,0.5,2026-08-27 00:19:21
water,non-canopy,4438009,8.216,0.0003,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_fullext_sectors_v1.tif,0.5,2026-08-27 00:19:21
other,non-canopy,0,0.0,nan,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_fullext_sectors_v1.tif,0.5,2026-08-27 00:19:21
