group,kind,px,area_pct,canopy_call_rate,ref,prob,thresh,ts
forest,canopy,1172008758,28.403,0.6063,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019_trend8_2019.tif,0.332,2026-09-10 12:21:17
wetland,canopy,11570760,0.28,0.9299,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019_trend8_2019.tif,0.332,2026-09-10 12:21:17
scrub,canopy,97574707,2.365,0.1946,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019_trend8_2019.tif,0.332,2026-09-10 12:21:17
grass,non-canopy,710442926,17.217,0.0566,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019_trend8_2019.tif,0.332,2026-09-10 12:21:17
cropland,non-canopy,0,0.0,nan,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019_trend8_2019.tif,0.332,2026-09-10 12:21:17
developed,non-canopy,1251965311,30.34,0.0249,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019_trend8_2019.tif,0.332,2026-09-10 12:21:17
barren,non-canopy,48134056,1.166,0.0437,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019_trend8_2019.tif,0.332,2026-09-10 12:21:17
emergent_wetland,non-canopy,14281026,0.346,0.4086,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019_trend8_2019.tif,0.332,2026-09-10 12:21:17
water,non-canopy,820421646,19.882,0.0129,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019_trend8_2019.tif,0.332,2026-09-10 12:21:17
other,non-canopy,0,0.0,nan,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019_trend8_2019.tif,0.332,2026-09-10 12:21:17
