session,step,basis,gpu_present,samples,hours,gpu_busy_frac,gpu_util_mean,cpu50_frac,iowait10_frac,tx1_frac,rx1_frac,disk5_frac,nothing_frac,ambiguous_dropped,samples_parsed,span_hours,source_file,phase
bb50b.csv.prev.1000,ALL,marker,1.0000,2160,3.0000,0.0324,2.2384,0.0977,0.0162,0.1056,0.0875,0.1681,0.6157,0,2160,3.0189,hw_bb50b.csv.prev.1000.csv,
bb50b.csv.prev.1000,evaluate,marker,1.0000,22,0.0306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,2160,3.0189,hw_bb50b.csv.prev.1000.csv,launching
bb50b.csv.prev.1000,evaluate,marker,1.0000,71,0.0986,0.0423,1.4507,0.0000,0.0000,0.0000,0.0000,0.0000,0.9437,0,2160,3.0189,hw_bb50b.csv.prev.1000.csv,open
bb50b.csv.prev.1000,labels,marker,1.0000,2,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,2160,3.0189,hw_bb50b.csv.prev.1000.csv,launching
bb50b.csv.prev.1000,tile,marker,1.0000,10,0.0139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,2160,3.0189,hw_bb50b.csv.prev.1000.csv,launching
bb50b.csv.prev.1000,tile,marker,1.0000,841,1.1681,0.0000,0.0000,0.0000,0.0404,0.0654,0.1843,0.1058,0.7289,0,2160,3.0189,hw_bb50b.csv.prev.1000.csv,open
bb50b.csv.prev.1000,tile,marker,1.0000,7,0.0097,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,2160,3.0189,hw_bb50b.csv.prev.1000.csv,verifying
bb50b.csv.prev.1000,train,marker,1.0000,25,0.0347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0800,0.9200,0,2160,3.0189,hw_bb50b.csv.prev.1000.csv,launching
bb50b.csv.prev.1000,train,marker,1.0000,1036,1.4389,0.0637,4.5502,0.2037,0.0010,0.1670,0.0328,0.2597,0.4295,0,2160,3.0189,hw_bb50b.csv.prev.1000.csv,open
bb50b.csv.prev.1000,train,marker,1.0000,14,0.0194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,2160,3.0189,hw_bb50b.csv.prev.1000.csv,verifying
healA,(between),marker,1.0000,60,0.0833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.9500,0,1752,2.4489,"hw_healA (1).csv;hw_healA.csv [merged by ts_utc, longest file primary: hw_healA (1).csv -> +0 rows]",
healA,ALL,marker,1.0000,1752,2.4333,0.2026,14.2688,0.1027,0.0445,0.0331,0.2763,0.2243,0.3887,0,1752,2.4489,"hw_healA (1).csv;hw_healA.csv [merged by ts_utc, longest file primary: hw_healA (1).csv -> +0 rows]",
