year,tag,k,thresh,precision,recall,frac_at_cut_pct
2009,trend8_2009,84,0.330708,0.7395,0.7594,27.51
2011s,trend8_2011s,38,0.149606,0.7403,0.7933,31.2
2013,trend8_2013,37,0.145669,0.7403,0.7885,28.54
2015,trend8_2015,38,0.149606,0.7394,0.7289,26.41
2016,trend8_2016,43,0.169291,0.7401,0.7997,30.35
2019,trend8_2019,28,0.110236,0.7493,0.7656,27.39
2021,trend8_2021,26,0.102362,0.7402,0.826,29.91
2024,trend8_2024,14,0.055118,0.7524,0.6955,24.76
