scope,band_lo_m,band_hi_m,n,pi,source,sensitivity,specificity,youden_j,flag
global,,,1506600,0.2863,ccap,0.8852,0.9481,0.8334,
global,,,1506600,0.2863,ndvi_ref,0.9108,0.8922,0.803,
global,,,1506600,0.2863,model,0.7492,0.9913,0.7405,
band,0,2,262517,0.0366,ccap,0.4115,0.9904,0.4019,
band,0,2,262517,0.0366,ndvi_ref,0.1203,0.993,0.1134,
band,0,2,262517,0.0366,model,0.0986,0.9972,0.0958,
band,2,5,258656,0.1748,ccap,0.5089,0.946,0.4549,
band,2,5,258656,0.1748,ndvi_ref,0.8602,0.8329,0.6931,
band,2,5,258656,0.1748,model,0.0949,0.9988,0.0937,
band,5,10,309580,0.2497,ccap,0.7342,0.9306,0.6648,
band,5,10,309580,0.2497,ndvi_ref,0.8463,0.8639,0.7102,
band,5,10,309580,0.2497,model,0.2642,0.9978,0.262,
band,10,15,129821,0.455,ccap,0.8342,0.8815,0.7157,
band,10,15,129821,0.455,ndvi_ref,0.8622,0.8222,0.6844,
band,10,15,129821,0.455,model,0.5731,0.9822,0.5554,
band,15,20,85839,0.7046,ccap,0.8699,0.79,0.6599,
band,15,20,85839,0.7046,ndvi_ref,0.8806,0.7446,0.6252,
band,15,20,85839,0.7046,model,0.816,0.939,0.755,
band,20,25,74734,0.8115,ccap,0.8925,0.7408,0.6334,
band,20,25,74734,0.8115,ndvi_ref,0.906,0.7323,0.6383,
band,20,25,74734,0.8115,model,0.9349,0.8713,0.8063,
band,25,30,62803,0.8823,ccap,0.9051,0.6969,0.6019,
band,25,30,62803,0.8823,ndvi_ref,0.931,0.7568,0.6878,
band,25,30,62803,0.8823,model,0.9778,0.7496,0.7273,
band,30,100,108418,0.94,ccap,0.9404,0.6613,0.6016,
band,30,100,108418,0.94,ndvi_ref,0.9608,0.8324,0.7932,
band,30,100,108418,0.94,model,0.9967,0.5088,0.5054,
