point_id,stratum,stratum_name,x,y,kind,overlap_stratum,dup_of
91,1,cand_change,549727.0,5299741.0,live,1,
176,1,cand_change,549639.0,5299275.0,live,1,
737,2,srs_floor,547929.0,5294569.0,live,4,
999,3,stable_canopy,547481.0,5292527.0,live,3,
92,1,cand_change,548103.0,5295359.0,live,1,
194,1,cand_change,547153.0,5294269.0,live,1,
288,1,cand_change,548125.0,5293683.0,live,1,
1035,4,stable_other,546669.0,5294259.0,live,4,
1128,4,stable_other,548469.0,5297183.0,live,4,
605,1,cand_change,550037.0,5294577.0,live,1,
414,1,cand_change,549761.0,5294877.0,live,1,
1201,4,stable_other,549135.0,5297283.0,live,4,
633,1,cand_change,548937.0,5294915.0,live,1,
981,3,stable_canopy,549401.0,5298395.0,live,3,
802,2,srs_floor,548873.0,5292369.0,live,4,
461,1,cand_change,549637.0,5299077.0,live,1,
404,1,cand_change,548841.0,5296101.0,live,1,
1204,4,stable_other,547745.0,5295235.0,live,4,
927,3,stable_canopy,548817.0,5298399.0,live,3,
1263,1,cand_change,547441.0,5295311.0,dup,1,97
122,1,cand_change,548209.0,5291847.0,live,1,
381,1,cand_change,547265.0,5293217.0,live,1,
1094,4,stable_other,549711.0,5299027.0,live,4,
1005,4,stable_other,547463.0,5292957.0,live,4,
27,1,cand_change,550055.0,5300485.0,live,1,
1146,4,stable_other,549479.0,5296005.0,live,4,
1029,4,stable_other,546813.0,5292403.0,live,4,
17,1,cand_change,547921.0,5293033.0,live,1,
719,2,srs_floor,549545.0,5294479.0,live,4,
800,2,srs_floor,548057.0,5292533.0,live,3,
419,1,cand_change,547609.0,5295343.0,live,1,
1241,4,stable_other,549785.0,5298297.0,live,4,
703,2,srs_floor,547439.0,5293575.0,live,4,
631,1,cand_change,548761.0,5296571.0,live,1,
1242,4,stable_other,548945.0,5292311.0,live,4,
912,3,stable_canopy,549595.0,5292541.0,live,3,
475,1,cand_change,548867.0,5298565.0,live,1,
262,1,cand_change,549885.0,5298687.0,live,1,
705,2,srs_floor,547445.0,5297785.0,live,4,
1240,4,stable_other,547271.0,5295227.0,live,4,
856,3,stable_canopy,546963.0,5296673.0,live,3,
387,1,cand_change,549333.0,5294259.0,live,1,
708,2,srs_floor,548781.0,5298869.0,live,4,
893,3,stable_canopy,545537.0,5294791.0,live,3,
207,1,cand_change,549605.0,5299583.0,live,1,
819,2,srs_floor,549245.0,5297429.0,live,4,
1095,4,stable_other,549089.0,5295747.0,live,4,
1208,4,stable_other,547849.0,5294439.0,live,4,
597,1,cand_change,550481.0,5298755.0,live,1,
1116,4,stable_other,545909.0,5294629.0,live,4,
29,1,cand_change,547289.0,5293435.0,live,1,
93,1,cand_change,549039.0,5292775.0,live,1,
699,1,cand_change,547899.0,5293409.0,live,1,
650,1,cand_change,549115.0,5297611.0,live,1,
944,3,stable_canopy,548677.0,5292439.0,live,3,
1140,4,stable_other,550169.0,5291851.0,live,4,
1060,4,stable_other,547019.0,5294129.0,live,4,
709,2,srs_floor,549313.0,5296553.0,live,4,
933,3,stable_canopy,549891.0,5292945.0,live,3,
1087,4,stable_other,546687.0,5293121.0,live,4,
66,1,cand_change,548249.0,5295039.0,live,1,
853,3,stable_canopy,548711.0,5298075.0,live,3,
747,2,srs_floor,548279.0,5297199.0,live,4,
1028,4,stable_other,547177.0,5293539.0,live,4,
244,1,cand_change,549197.0,5292263.0,live,1,
1177,4,stable_other,549585.0,5293069.0,live,4,
321,1,cand_change,549927.0,5299891.0,live,1,
1185,4,stable_other,547857.0,5294327.0,live,4,
337,1,cand_change,549423.0,5295011.0,live,1,
958,3,stable_canopy,549621.0,5294537.0,live,3,
68,1,cand_change,548555.0,5294847.0,live,1,
506,1,cand_change,548287.0,5298487.0,live,1,
85,1,cand_change,546933.0,5294485.0,live,1,
757,2,srs_floor,546877.0,5295851.0,live,1,
1084,4,stable_other,546555.0,5294425.0,live,4,
266,1,cand_change,546433.0,5295869.0,live,1,
520,1,cand_change,548025.0,5293209.0,live,1,
818,2,srs_floor,550147.0,5294565.0,live,4,
1004,4,stable_other,549591.0,5295101.0,live,4,
872,3,stable_canopy,548679.0,5292565.0,live,3,
746,2,srs_floor,548123.0,5298225.0,live,3,
355,1,cand_change,546717.0,5293629.0,live,1,
842,3,stable_canopy,547435.0,5292497.0,live,3,
1184,4,stable_other,548045.0,5296229.0,live,4,
495,1,cand_change,547993.0,5297137.0,live,1,
311,1,cand_change,550069.0,5299343.0,live,1,
177,1,cand_change,548227.0,5292703.0,live,1,
97,1,cand_change,547441.0,5295311.0,live,1,
764,2,srs_floor,548095.0,5292865.0,live,3,
542,1,cand_change,549865.0,5298865.0,live,1,
700,1,cand_change,548105.0,5294917.0,live,1,
656,1,cand_change,548641.0,5297147.0,live,1,
456,1,cand_change,547869.0,5293801.0,live,1,
1056,4,stable_other,547793.0,5293099.0,live,4,
521,1,cand_change,547947.0,5297659.0,live,1,
1262,1,cand_change,548953.0,5297253.0,dup,1,622
298,1,cand_change,548953.0,5295333.0,live,1,
1278,4,stable_other,549715.0,5292331.0,dup,4,1231
796,2,srs_floor,547341.0,5297673.0,live,4,
512,1,cand_change,549979.0,5300465.0,live,1,
1118,4,stable_other,547183.0,5294231.0,live,4,
306,1,cand_change,548573.0,5297359.0,live,1,
327,1,cand_change,548307.0,5295011.0,live,1,
785,2,srs_floor,548307.0,5295291.0,live,1,
573,1,cand_change,549841.0,5295225.0,live,1,
645,1,cand_change,546929.0,5291967.0,live,1,
578,1,cand_change,548927.0,5297767.0,live,1,
154,1,cand_change,548211.0,5294983.0,live,1,
643,1,cand_change,548155.0,5297723.0,live,1,
426,1,cand_change,547423.0,5295743.0,live,1,
1273,1,cand_change,549965.0,5300841.0,dup,1,549
1212,4,stable_other,545479.0,5295145.0,live,4,
400,1,cand_change,549217.0,5295509.0,live,1,
435,1,cand_change,547481.0,5292299.0,live,1,
580,1,cand_change,549125.0,5292113.0,live,1,
444,1,cand_change,548435.0,5295603.0,live,1,
1245,4,stable_other,549565.0,5299523.0,live,4,
296,1,cand_change,548901.0,5292213.0,live,1,
603,1,cand_change,548319.0,5292883.0,live,1,
1249,4,stable_other,548775.0,5297089.0,live,4,
591,1,cand_change,546651.0,5293129.0,live,1,
934,3,stable_canopy,549103.0,5298361.0,live,3,
729,2,srs_floor,549763.0,5300867.0,live,4,
147,1,cand_change,548331.0,5296829.0,live,1,
1219,4,stable_other,549233.0,5296063.0,live,4,
854,3,stable_canopy,548981.0,5294919.0,live,3,
1258,1,cand_change,549639.0,5299275.0,dup,1,176
436,1,cand_change,549687.0,5299519.0,live,1,
922,3,stable_canopy,549367.0,5296693.0,live,3,
881,3,stable_canopy,547797.0,5294661.0,live,3,
1148,4,stable_other,547477.0,5296493.0,live,4,
