band_lo_m,band_hi_m,recall,recalled,missed
0,2,0.209,22230,84111
2,5,0.1955,236340,972698
5,10,0.3869,1167170,1849818
10,15,0.607,1600843,1036571
15,20,0.77,2030359,606343
20,25,0.8562,2192910,368430
25,30,0.8968,2013077,231640
30,100,0.9449,3854925,224993
