group,kind,px,area_pct,canopy_call_rate,ref,prob,thresh,ts
forest,canopy,4688045665,28.403,0.3127,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2017_heal_2017.tif,0.4986,2026-09-10 12:08:28
wetland,canopy,46286017,0.28,0.4946,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2017_heal_2017.tif,0.4986,2026-09-10 12:08:28
scrub,canopy,390304224,2.365,0.0742,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2017_heal_2017.tif,0.4986,2026-09-10 12:08:28
grass,non-canopy,2841775038,17.217,0.0115,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2017_heal_2017.tif,0.4986,2026-09-10 12:08:28
cropland,non-canopy,0,0.0,nan,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2017_heal_2017.tif,0.4986,2026-09-10 12:08:28
developed,non-canopy,5007841983,30.34,0.011,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2017_heal_2017.tif,0.4986,2026-09-10 12:08:28
barren,non-canopy,192535450,1.166,0.0027,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2017_heal_2017.tif,0.4986,2026-09-10 12:08:28
emergent_wetland,non-canopy,57125462,0.346,0.0291,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2017_heal_2017.tif,0.4986,2026-09-10 12:08:28
water,non-canopy,3281804198,19.883,0.0004,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2017_heal_2017.tif,0.4986,2026-09-10 12:08:28
other,non-canopy,0,0.0,nan,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2017_heal_2017.tif,0.4986,2026-09-10 12:08:28
