group,kind,px,area_pct,canopy_call_rate,ref,prob,thresh,ts
forest,canopy,6725138,33.943,0.6137,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019s_wb18_2019s_in16.tif,0.3527,2026-09-10 09:48:39
wetland,canopy,97379,0.491,0.9178,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019s_wb18_2019s_in16.tif,0.3527,2026-09-10 09:48:39
scrub,canopy,706694,3.567,0.0756,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019s_wb18_2019s_in16.tif,0.3527,2026-09-10 09:48:39
grass,non-canopy,3886778,19.617,0.0562,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019s_wb18_2019s_in16.tif,0.3527,2026-09-10 09:48:39
cropland,non-canopy,0,0.0,nan,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019s_wb18_2019s_in16.tif,0.3527,2026-09-10 09:48:39
developed,non-canopy,7960017,40.175,0.0324,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019s_wb18_2019s_in16.tif,0.3527,2026-09-10 09:48:39
barren,non-canopy,113093,0.571,0.0026,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019s_wb18_2019s_in16.tif,0.3527,2026-09-10 09:48:39
emergent_wetland,non-canopy,268394,1.355,0.0445,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019s_wb18_2019s_in16.tif,0.3527,2026-09-10 09:48:39
water,non-canopy,55693,0.281,0.1649,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019s_wb18_2019s_in16.tif,0.3527,2026-09-10 09:48:39
other,non-canopy,0,0.0,nan,ccap_2016_hires_lc.tif,edmonds_canopy_prob_2019s_wb18_2019s_in16.tif,0.3527,2026-09-10 09:48:39
