unit_id,blind_order,is_control,stratum_id,stratum_name,tier,gap_left_yr,gap_right_yr,gap_years,gap_bucket,size_class,bracket_years,epoch_prev,epoch_filled,epoch_next,x,y,epsg,row,col,n_cells,area_m2,equiv_diam_m,control_flank,adjudicable,adjudicator,adjudicator_dyear,adjudicate,present_in_filled_epoch,notes
F2019_02747_01817,587,0,71,BLIND|3|10-14,BLIND,3,2,3,3,10-14,5,2016,2019,2021,548723.0,5295423.0,26910,2747,1817,22,88.0,10.59,,0,,,0,,
F2011s_03248_02139,588,0,6,HEAL|1-2|6-8,HEAL,2,2,2,1-2,6-8,4,2009,2011s,2013,549367.0,5294421.0,26910,3248,2139,12,48.0,7.82,,0,,,0,,
C2019_01006_02262,589,1,72,BLIND|3|14+,BLIND,3,2,3,3,14+,5,2016,2019,2021,549613.0,5298905.0,26910,1006,2262,62,248.0,17.77,prev,0,,,0,,
C2019_02890_00628,590,1,68,BLIND|3|5-6,BLIND,3,2,3,3,5-6,5,2016,2019,2021,546345.0,5295137.0,26910,2890,628,7,28.0,5.97,prev,0,,,0,,
F2016_00424_02307,591,0,69,BLIND|3|6-8,BLIND,1,3,3,3,6-8,4,2015,2016,2019,549703.0,5300069.0,26910,424,2307,10,40.0,7.14,,1,lidar_chm2_2016_50cm,0,1,,
C2019_01559_01360,592,1,72,BLIND|3|14+,BLIND,3,2,3,3,14+,5,2016,2019,2021,547809.0,5297799.0,26910,1559,1360,45,180.0,15.14,prev,0,,,0,,
C2021_03330_00684,593,1,69,BLIND|3|6-8,BLIND,2,3,3,3,6-8,5,2019,2021,2024,546457.0,5294257.0,26910,3330,684,11,44.0,7.48,prev,0,,,0,,
C2011s_04546_01219,594,1,6,HEAL|1-2|6-8,HEAL,2,2,2,1-2,6-8,4,2009,2011s,2013,547527.0,5291825.0,26910,4546,1219,9,36.0,6.77,prev,0,,,0,,
F2015_01859_02204,595,0,8,HEAL|1-2|10-14,HEAL,2,1,2,1-2,10-14,3,2013,2015,2016,549497.0,5297199.0,26910,1859,2204,35,140.0,13.35,,1,lidar_chm2_2016_50cm,-1,1,,
C2015_04329_01056,596,1,8,HEAL|1-2|10-14,HEAL,2,1,2,1-2,10-14,3,2013,2015,2016,547201.0,5292259.0,26910,4329,1056,24,96.0,11.06,next,1,lidar_chm2_2016_50cm,-1,0,,
C2013_04421_01520,597,1,6,HEAL|1-2|6-8,HEAL,2,2,2,1-2,6-8,4,2011s,2013,2015,548129.0,5292075.0,26910,4421,1520,8,32.0,6.38,prev,0,,,0,,
C2011s_02748_01160,598,1,7,HEAL|1-2|8-10,HEAL,2,2,2,1-2,8-10,4,2009,2011s,2013,547409.0,5295421.0,26910,2748,1160,19,76.0,9.84,next,0,,,0,,
C2021_02795_01777,599,1,72,BLIND|3|14+,BLIND,2,3,3,3,14+,5,2019,2021,2024,548643.0,5295327.0,26910,2795,1777,42,168.0,14.63,prev,0,,,0,,
C2013_02895_02232,600,1,5,HEAL|1-2|5-6,HEAL,2,2,2,1-2,5-6,4,2011s,2013,2015,549553.0,5295127.0,26910,2895,2232,7,28.0,5.97,prev,0,,,0,,
