year,ref,prob,canopy_def,thresh,recall,precision,grass_reject,tp,fn,fp,ref_canopy,valid,indep_1m_cells,primary,live,run_tag,ts
2021s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_r4.tif,forest_only,0.49,0.6535,0.8166,0.9308,55564130,29455789,12480821,85019919,299040768,6945477,0,1,noise_r4,2026-08-26 19:51:50
2021s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_r4.tif,forest_wetland,0.49,0.6563,0.8281,0.9308,56346003,29502136,11698948,85848139,299040768,6945477,1,1,noise_r4,2026-08-26 19:51:50
2021s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_r4.tif,forest_wetland_scrub,0.49,0.6367,0.8445,0.9308,57466414,32792588,10578537,90259002,299040768,6945477,0,1,noise_r4,2026-08-26 19:51:50
2021s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_r1.tif,forest_only,0.44,0.6372,0.8206,0.9397,54171611,30848308,11846604,85019919,299040768,6945477,0,1,noise_r1,2026-08-26 19:56:33
2021s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_r1.tif,forest_wetland,0.44,0.6402,0.8325,0.9397,54960637,30887502,11057578,85848139,299040768,6945477,1,1,noise_r1,2026-08-26 19:56:33
2021s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_r1.tif,forest_wetland_scrub,0.44,0.6217,0.85,0.9397,56116912,34142090,9901303,90259002,299040768,6945477,0,1,noise_r1,2026-08-26 19:56:33
2021s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_r5.tif,forest_only,0.457,0.6522,0.8146,0.9298,55452545,29567374,12620498,85019919,299040768,6945477,0,1,noise_r5,2026-08-26 19:59:02
2021s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_r5.tif,forest_wetland,0.457,0.655,0.826,0.9298,56226584,29621555,11846459,85848139,299040768,6945477,1,1,noise_r5,2026-08-26 19:59:02
2021s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_r5.tif,forest_wetland_scrub,0.457,0.6359,0.8431,0.9298,57394089,32864913,10678954,90259002,299040768,6945477,0,1,noise_r5,2026-08-26 19:59:02
2000,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_fullext_sectors_v1.tif,forest_only,0.5,0.5868,0.9072,0.9705,11009494,7752213,1125612,18761707,54016051,19262404,0,1,fullext_sectors_v1,2026-08-27 00:19:21
2000,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_fullext_sectors_v1.tif,forest_wetland,0.5,0.5895,0.9196,0.9705,11159655,7771755,975451,18931410,54016051,19262404,1,1,fullext_sectors_v1,2026-08-27 00:19:21
2000,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2000_fullext_sectors_v1.tif,forest_wetland_scrub,0.5,0.5425,0.9276,0.9705,11256093,9494190,879013,20750283,54016051,19262404,0,1,fullext_sectors_v1,2026-08-27 00:19:21
2007,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2007_fullext_sectors_v1.tif,forest_only,0.5,0.6209,0.8588,0.931,41323157,25235034,6796288,66558191,198770661,17720662,0,1,fullext_sectors_v1,2026-08-27 00:21:17
2007,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2007_fullext_sectors_v1.tif,forest_wetland,0.5,0.624,0.871,0.931,41912387,25251555,6207058,67163942,198770661,17720662,1,1,fullext_sectors_v1,2026-08-27 00:21:17
2007,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2007_fullext_sectors_v1.tif,forest_wetland_scrub,0.5,0.5827,0.8927,0.931,42955061,30766530,5164384,73721591,198770661,17720662,0,1,fullext_sectors_v1,2026-08-27 00:21:17
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_fullext_sectors_v1.tif,forest_only,0.5,0.6965,0.8366,0.8965,46357420,20200770,9051851,66558190,198770664,17720662,0,1,fullext_sectors_v1,2026-08-27 00:23:10
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_fullext_sectors_v1.tif,forest_wetland,0.5,0.6989,0.8472,0.8965,46943745,20220196,8465526,67163941,198770664,17720662,1,1,fullext_sectors_v1,2026-08-27 00:23:10
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_fullext_sectors_v1.tif,forest_wetland_scrub,0.5,0.6566,0.8735,0.8965,48402759,25318832,7006512,73721591,198770664,17720662,0,1,fullext_sectors_v1,2026-08-27 00:23:10
2013,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2013_fullext_sectors_v1.tif,forest_only,0.5,0.6283,0.8788,0.9555,157234291,93018688,21682878,250252979,745339776,16612002,0,1,fullext_sectors_v1,2026-08-27 00:29:27
2013,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2013_fullext_sectors_v1.tif,forest_wetland,0.5,0.6311,0.8902,0.9555,159272984,93095415,19644185,252368399,745339776,16612002,1,1,fullext_sectors_v1,2026-08-27 00:29:27
2013,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2013_fullext_sectors_v1.tif,forest_wetland_scrub,0.5,0.5863,0.9072,0.9555,162305894,114535532,16611275,276841426,745339776,16612002,0,1,fullext_sectors_v1,2026-08-27 00:29:27
2018s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2018s_fullext_sectors_v1.tif,forest_only,0.5,0.6428,0.7736,0.9215,54650528,30369391,15992749,85019919,299040759,6945477,0,1,fullext_sectors_v1,2026-08-27 00:32:38
2018s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2018s_fullext_sectors_v1.tif,forest_wetland,0.5,0.6459,0.7849,0.9215,55451002,30397137,15192275,85848139,299040759,6945477,1,1,fullext_sectors_v1,2026-08-27 00:32:38
2018s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2018s_fullext_sectors_v1.tif,forest_wetland_scrub,0.5,0.6322,0.8078,0.9215,57064162,33194840,13579115,90259002,299040759,6945477,0,1,fullext_sectors_v1,2026-08-27 00:32:38
2021s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_ens5.tif,forest_only,0.5,0.6319,0.8248,0.9394,53722191,31297728,11410327,85019919,299040768,6945477,0,0,noise_ens5,2026-08-27 05:40:40
2021s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_ens5.tif,forest_wetland,0.5,0.6348,0.8366,0.9394,54492981,31355158,10639537,85848139,299040768,6945477,1,0,noise_ens5,2026-08-27 05:40:40
2021s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_ens5.tif,forest_wetland_scrub,0.5,0.6148,0.852,0.9394,55492170,34766832,9640348,90259002,299040768,6945477,0,0,noise_ens5,2026-08-27 05:40:40
2021s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_ens5.tif,forest_only,0.477,0.641,0.8215,0.9366,54497101,30522818,11839963,85019919,299040768,6945477,0,1,noise_ens5,2026-08-27 05:43:02
2021s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_ens5.tif,forest_wetland,0.477,0.6439,0.8332,0.9366,55273574,30574565,11063490,85848139,299040768,6945477,1,1,noise_ens5,2026-08-27 05:43:02
2021s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2021s_noise_ens5.tif,forest_wetland_scrub,0.477,0.6241,0.8491,0.9366,56328496,33930506,10008568,90259002,299040768,6945477,0,1,noise_ens5,2026-08-27 05:43:02
2024,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2024_fullext_sectors_v1.tif,forest_only,0.5,0.6372,0.7751,0.9084,393610280,224152750,114217664,617763030,2169175230,12086549,0,1,fullext_sectors_v1,2026-08-27 10:39:09
2024,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2024_fullext_sectors_v1.tif,forest_wetland,0.5,0.64,0.786,0.9084,399149697,224490366,108678247,623640063,2169175230,12086549,1,1,fullext_sectors_v1,2026-08-27 10:39:09
2024,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2024_fullext_sectors_v1.tif,forest_wetland_scrub,0.5,0.6248,0.807,0.9084,409827716,246074776,98000228,655902492,2169175230,12086549,0,1,fullext_sectors_v1,2026-08-27 10:39:09
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_groves_nolidar.tif,forest_only,0.5,0.7483,0.766,0.7802,49808191,16749999,15216982,66558190,198770664,17720662,0,1,groves_nolidar,2026-08-27 17:51:36
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_groves_nolidar.tif,forest_wetland,0.5,0.7503,0.7749,0.7802,50389988,16773953,14635185,67163941,198770664,17720662,1,1,groves_nolidar,2026-08-27 17:51:36
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_groves_nolidar.tif,forest_wetland_scrub,0.5,0.7137,0.8092,0.7802,52616068,21105523,12409105,73721591,198770664,17720662,0,1,groves_nolidar,2026-08-27 17:51:36
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_groves_lidar.tif,forest_only,0.5,0.3877,0.9166,0.9794,25802477,40755713,2347189,66558190,198770664,17720662,0,1,groves_lidar,2026-08-27 17:53:32
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_groves_lidar.tif,forest_wetland,0.5,0.3911,0.9332,0.9794,26269280,40894661,1880386,67163941,198770664,17720662,1,1,groves_lidar,2026-08-27 17:53:32
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_groves_lidar.tif,forest_wetland_scrub,0.5,0.3603,0.9437,0.9794,26564978,47156613,1584688,73721591,198770664,17720662,0,1,groves_lidar,2026-08-27 17:53:32
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_hybrid_v1.tif,forest_only,0.5,0.6221,0.8668,0.9352,41406170,25152020,6363377,66558190,198770664,17720662,0,1,hybrid_v1,2026-08-27 20:48:58
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_hybrid_v1.tif,forest_wetland,0.5,0.6253,0.8792,0.9352,41996864,25167077,5772683,67163941,198770664,17720662,1,1,hybrid_v1,2026-08-27 20:48:58
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_hybrid_v1.tif,forest_wetland_scrub,0.5,0.5836,0.9006,0.9352,43020427,30701164,4749120,73721591,198770664,17720662,0,1,hybrid_v1,2026-08-27 20:48:58
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_rgb3_nodeb.tif,forest_only,0.5,0.6538,0.8196,0.8827,43517721,23040469,9579639,66558190,198770664,17720662,0,1,rgb3_nodeb,2026-08-28 10:29:26
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_rgb3_nodeb.tif,forest_wetland,0.5,0.6567,0.8306,0.8827,44104262,23059679,8993098,67163941,198770664,17720662,1,1,rgb3_nodeb,2026-08-28 10:29:26
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_rgb3_nodeb.tif,forest_wetland_scrub,0.5,0.6197,0.8604,0.8827,45682521,28039070,7414839,73721591,198770664,17720662,0,1,rgb3_nodeb,2026-08-28 10:29:26
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_corrupt10.tif,forest_only,0.5,0.7628,0.8037,0.8434,50771097,15787093,12400007,66558190,198770664,17720662,0,1,corrupt10,2026-08-28 20:10:35
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_corrupt10.tif,forest_wetland,0.5,0.7648,0.8131,0.8434,51364093,15799848,11807011,67163941,198770664,17720662,1,1,corrupt10,2026-08-28 20:10:35
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_corrupt10.tif,forest_wetland_scrub,0.5,0.7211,0.8416,0.8434,53163639,20557952,10007465,73721591,198770664,17720662,0,1,corrupt10,2026-08-28 20:10:35
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_corrupt50.tif,forest_only,0.5,0.6406,0.8426,0.9109,42639496,23918694,7963678,66558190,198770664,17720662,0,1,corrupt50,2026-08-28 23:07:14
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_corrupt50.tif,forest_wetland,0.5,0.6436,0.8543,0.9109,43229573,23934368,7373601,67163941,198770664,17720662,1,1,corrupt50,2026-08-28 23:07:14
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_corrupt50.tif,forest_wetland_scrub,0.5,0.6001,0.8743,0.9109,44243048,29478543,6360126,73721591,198770664,17720662,0,1,corrupt50,2026-08-28 23:07:14
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_nodec_v1.tif,forest_only,0.5,0.7351,0.7977,0.831,48926320,17631870,12405045,66558190,198770664,17720662,0,1,nodec_v1,2026-08-28 23:57:35
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_nodec_v1.tif,forest_wetland,0.5,0.7372,0.8073,0.831,49511053,17652888,11820312,67163941,198770664,17720662,1,1,nodec_v1,2026-08-28 23:57:35
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_nodec_v1.tif,forest_wetland_scrub,0.5,0.6969,0.8377,0.831,51378293,22343298,9953072,73721591,198770664,17720662,0,1,nodec_v1,2026-08-28 23:57:35
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_corrupt25.tif,forest_only,0.5,0.562,0.8758,0.9448,37403316,29154874,5304094,66558190,198770664,17720662,0,1,corrupt25,2026-08-29 00:59:03
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_corrupt25.tif,forest_wetland,0.5,0.5653,0.8891,0.9448,37970649,29193292,4736761,67163941,198770664,17720662,1,1,corrupt25,2026-08-29 00:59:03
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_corrupt25.tif,forest_wetland_scrub,0.5,0.5269,0.9095,0.9448,38841307,34880284,3866103,73721591,198770664,17720662,0,1,corrupt25,2026-08-29 00:59:03
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_chm2_v1.tif,forest_only,0.5,0.6766,0.8509,0.9182,45033438,21524752,7888905,66558190,198770664,17720662,0,1,chm2_v1,2026-08-29 02:47:13
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_chm2_v1.tif,forest_wetland,0.5,0.679,0.8617,0.9182,45602003,21561938,7320340,67163941,198770664,17720662,1,1,chm2_v1,2026-08-29 02:47:13
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_chm2_v1.tif,forest_wetland_scrub,0.5,0.636,0.8859,0.9182,46884422,26837169,6037921,73721591,198770664,17720662,0,1,chm2_v1,2026-08-29 02:47:13
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_seed1234.tif,forest_only,0.5,0.6654,0.848,0.9119,44290964,22267226,7939283,66558190,198770664,17720662,0,1,seed1234,2026-08-29 03:36:23
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_seed1234.tif,forest_wetland,0.5,0.668,0.859,0.9119,44868045,22295896,7362202,67163941,198770664,17720662,1,1,seed1234,2026-08-29 03:36:23
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_seed1234.tif,forest_wetland_scrub,0.5,0.6261,0.8837,0.9119,46154606,27566985,6075641,73721591,198770664,17720662,0,1,seed1234,2026-08-29 03:36:23
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_rgb3_ep60.tif,forest_only,0.5,0.6972,0.8015,0.8511,46405845,20152345,11492668,66558190,198770664,17720662,0,1,rgb3_ep60,2026-08-29 04:12:06
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_rgb3_ep60.tif,forest_wetland,0.5,0.6997,0.8117,0.8511,46997725,20166216,10900788,67163941,198770664,17720662,1,1,rgb3_ep60,2026-08-29 04:12:06
2009,ccap_2016_hires_lc_snohfull.tif,edmonds_canopy_prob_2009_rgb3_ep60.tif,forest_wetland_scrub,0.5,0.6606,0.8412,0.8511,48702648,25018943,9195865,73721591,198770664,17720662,0,1,rgb3_ep60,2026-08-29 04:12:06
2019s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2019s_pilot_e2_medium.tif,forest_only,0.4816,0.6292,0.7589,0.8564,74403845,43847109,23642999,118250954,451669678,41961654,0,1,pilot_e2_medium,2026-08-30 19:01:42
2019s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2019s_pilot_e2_medium.tif,forest_wetland,0.4816,0.6331,0.7735,0.8564,75843572,43947590,22203272,119791162,451669678,41961654,1,1,pilot_e2_medium,2026-08-30 19:01:42
2019s,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2019s_pilot_e2_medium.tif,forest_wetland_scrub,0.4816,0.626,0.7964,0.8564,78081744,46644315,19965100,124726059,451669678,41961654,0,1,pilot_e2_medium,2026-08-30 19:01:42
2019,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2019_pilot_e2_fine.tif,forest_only,0.332,0.6461,0.8218,0.9336,705469922,386422586,152980757,1091892508,4126399190,91968458,0,1,pilot_e2_fine,2026-08-30 20:15:09
2019,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2019_pilot_e2_fine.tif,forest_wetland,0.332,0.6492,0.8365,0.9336,718113420,388000193,140337259,1106113613,4126399190,91968458,1,1,pilot_e2_fine,2026-08-30 20:15:09
2019,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2019_pilot_e2_fine.tif,forest_wetland_scrub,0.332,0.6383,0.8563,0.9336,735080675,416607127,123370004,1151687802,4126399190,91968458,0,1,pilot_e2_fine,2026-08-30 20:15:09
2019n,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2019n_pilot_e2_coarse.tif,forest_only,0.4951,0.6887,0.7725,0.8439,21000989,9493313,6184334,30494302,115925120,41733043,0,1,pilot_e2_coarse,2026-08-30 21:36:10
2019n,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2019n_pilot_e2_coarse.tif,forest_wetland,0.4951,0.6915,0.7858,0.8439,21362985,9528573,5822338,30891558,115925120,41733043,1,1,pilot_e2_coarse,2026-08-30 21:36:10
2019n,ccap_2021_hires_lc.tif,edmonds_canopy_prob_2019n_pilot_e2_coarse.tif,forest_wetland_scrub,0.4951,0.6792,0.8036,0.8439,21845660,10318670,5339663,32164330,115925120,41733043,0,1,pilot_e2_coarse,2026-08-30 21:36:10
