year,tag,is_champion,recipe_class,recall,precision,f_half,thresh,calendar_year,ref_epoch_gap_yr,effective_cm,bands,tier,crs_family,date_shot,month,leafoff_risk,mmu_epoch2_m2,generated_utc
2012s,sectors_v1,1,sector_v1,0.4725,0.6985,0.6375,0.5,2012,9,"29.81 (median of 5 sites; 1.3x its grid); common grid vs held: 29.59 vs 38.94 cm, HF ratio 1.571",3,medium,state_plane_ft,NOT FOUND (year from the county service name Aerial_2012 only),,,,2026-09-01T17:19:41Z
2013,citywide_rgb,0,citywide,0.7399,0.8681,0.839,0.5026,2013,8,12.6-13.7 (five z20 years measured together; IMAGERY_FACTS 2.2),3,fine,web_mercator,"2013-06-02 to 2013-06-06 (4 days over the city: Jun 2 n=111, Jun 4 137, Jun 5 218, Jun 6 222)",6,0,,2026-09-01T17:19:41Z
2013,fullext_sectors_v1,0,sector_v1,0.6311,0.8902,0.8227,0.5,2013,8,12.6-13.7 (five z20 years measured together; IMAGERY_FACTS 2.2),3,fine,web_mercator,"2013-06-02 to 2013-06-06 (4 days over the city: Jun 2 n=111, Jun 4 137, Jun 5 218, Jun 6 222)",6,0,,2026-09-01T17:19:41Z
2013,xsensor_rgb,0,other,0.7094,0.8551,0.8214,0.5209,2013,8,12.6-13.7 (five z20 years measured together; IMAGERY_FACTS 2.2),3,fine,web_mercator,"2013-06-02 to 2013-06-06 (4 days over the city: Jun 2 n=111, Jun 4 137, Jun 5 218, Jun 6 222)",6,0,,2026-09-01T17:19:41Z
2015,citywide_rgb,0,citywide,0.7401,0.8823,0.8497,0.5011,2015,6,12.6-13.7,3,fine,web_mercator,"2015-02-15 to 2015-03-08 (6 days over the city: Feb 15 n=5, Feb 18 5, Feb 21 26, Feb 28 111, Mar 7 348, Mar 8 206)",2,1,,2026-09-01T17:19:41Z
2015,xsensor_rgb,0,other,0.6222,0.8835,0.815,0.576,2015,6,12.6-13.7,3,fine,web_mercator,"2015-02-15 to 2015-03-08 (6 days over the city: Feb 15 n=5, Feb 18 5, Feb 21 26, Feb 28 111, Mar 7 348, Mar 8 206)",2,1,,2026-09-01T17:19:41Z
2016,,0,legacy,0.6636,0.8736,0.8216,0.509,2016,5,35.4,4,coarse,state_plane_ft,2016-08-12 morning (consortium sorties 09:05 / 09:30 PDT; a 09:50 sortie also lies within the city bbox) - CONDITIONAL on the county 1-ft product being the same flight as the dated 15 cm consortium product. The 2016-08-11 16:52 sortie is EXCLUDED for the held extent (shadows point WNW = morning sun),8,0,,2026-09-01T17:19:41Z
2016,corrected,0,other,0.8718,0.7296,0.7542,0.509,2016,5,35.4,4,coarse,state_plane_ft,2016-08-12 morning (consortium sorties 09:05 / 09:30 PDT; a 09:50 sortie also lies within the city bbox) - CONDITIONAL on the county 1-ft product being the same flight as the dated 15 cm consortium product. The 2016-08-11 16:52 sortie is EXCLUDED for the held extent (shadows point WNW = morning sun),8,0,,2026-09-01T17:19:41Z
2016,fullext_sectors_v1,0,sector_v1,0.6163,0.9119,0.8321,0.5223,2016,5,35.4,4,coarse,state_plane_ft,2016-08-12 morning (consortium sorties 09:05 / 09:30 PDT; a 09:50 sortie also lies within the city bbox) - CONDITIONAL on the county 1-ft product being the same flight as the dated 15 cm consortium product. The 2016-08-11 16:52 sortie is EXCLUDED for the held extent (shadows point WNW = morning sun),8,0,,2026-09-01T17:19:41Z
2016,nir_m06,0,citywide,0.6407,0.8921,0.8272,0.5939,2016,5,35.4,4,coarse,state_plane_ft,2016-08-12 morning (consortium sorties 09:05 / 09:30 PDT; a 09:50 sortie also lies within the city bbox) - CONDITIONAL on the county 1-ft product being the same flight as the dated 15 cm consortium product. The 2016-08-11 16:52 sortie is EXCLUDED for the held extent (shadows point WNW = morning sun),8,0,,2026-09-01T17:19:41Z
