point_id,label,stratum,stratum_name,estimator_stratum,x,y,verify_overturned
110,nochange,1,cand_change,1,550161.0,5298965.0,0
1100,nochange,4,stable_other,4,547733.0,5293155.0,0
1101,nochange,4,stable_other,4,549291.0,5292589.0,1
1102,nochange,4,stable_other,4,549645.0,5297243.0,0
1103,nochange,4,stable_other,4,547033.0,5297233.0,0
1104,nochange,4,stable_other,4,546765.0,5293751.0,0
1105,nochange,4,stable_other,4,546709.0,5295149.0,0
1106,nochange,4,stable_other,4,548543.0,5292313.0,0
1107,nochange,4,stable_other,4,548341.0,5296997.0,0
1108,nochange,4,stable_other,4,547271.0,5293977.0,0
1109,nochange,4,stable_other,4,547303.0,5293699.0,0
111,loss,1,cand_change,1,548289.0,5292311.0,0
1110,nochange,4,stable_other,4,549833.0,5298467.0,0
1111,nochange,4,stable_other,4,547813.0,5296565.0,0
1112,nochange,4,stable_other,4,549071.0,5294403.0,0
1113,loss,4,stable_other,4,548359.0,5298605.0,0
1114,nochange,4,stable_other,4,549405.0,5298749.0,0
1116,nochange,4,stable_other,4,545909.0,5294629.0,0
1117,nochange,4,stable_other,4,550035.0,5293875.0,0
1118,nochange,4,stable_other,4,547183.0,5294231.0,0
1119,nochange,4,stable_other,4,547395.0,5296653.0,0
112,nochange,1,cand_change,1,546669.0,5294243.0,0
1120,nochange,4,stable_other,4,546771.0,5294815.0,0
1121,nochange,4,stable_other,4,550407.0,5298261.0,0
1122,nochange,4,stable_other,4,548105.0,5291871.0,0
1123,loss,4,stable_other,4,548281.0,5295505.0,0
1124,nochange,4,stable_other,4,550011.0,5297847.0,0
1125,nochange,4,stable_other,4,549207.0,5298851.0,0
1126,nochange,4,stable_other,4,548439.0,5292679.0,0
1127,nochange,4,stable_other,4,549901.0,5293621.0,0
1128,nochange,4,stable_other,4,548469.0,5297183.0,0
1129,nochange,4,stable_other,4,548253.0,5297983.0,0
113,nochange,1,cand_change,1,547037.0,5294691.0,0
1130,nochange,4,stable_other,4,547655.0,5293031.0,0
1131,nochange,4,stable_other,4,548393.0,5295263.0,0
1132,nochange,4,stable_other,4,546335.0,5296695.0,0
1133,nochange,4,stable_other,4,546753.0,5292791.0,0
1134,nochange,4,stable_other,4,549381.0,5295035.0,0
1135,nochange,4,stable_other,4,549387.0,5292941.0,0
1136,nochange,4,stable_other,4,547747.0,5294307.0,0
1137,nochange,4,stable_other,4,549747.0,5298271.0,0
1138,nochange,4,stable_other,4,547281.0,5292917.0,0
1139,nochange,4,stable_other,4,550047.0,5299289.0,0
1140,nochange,4,stable_other,4,550169.0,5291851.0,0
1141,nochange,4,stable_other,4,548395.0,5292587.0,0
1142,nochange,4,stable_other,4,548497.0,5298675.0,0
1143,nochange,4,stable_other,4,548549.0,5297797.0,0
1144,nochange,4,stable_other,4,547007.0,5294777.0,0
1145,nochange,4,stable_other,4,548263.0,5295463.0,0
1146,nochange,4,stable_other,4,549479.0,5296005.0,1
1147,nochange,4,stable_other,4,550131.0,5295061.0,0
1148,nochange,4,stable_other,4,547477.0,5296493.0,0
1149,nochange,4,stable_other,4,547617.0,5294857.0,0
115,nochange,1,cand_change,1,549039.0,5296281.0,0
1150,nochange,4,stable_other,4,546389.0,5296093.0,0
1151,nochange,4,stable_other,4,549509.0,5291841.0,0
1152,nochange,4,stable_other,4,549949.0,5299047.0,0
1153,nochange,4,stable_other,4,546609.0,5294661.0,0
1154,nochange,4,stable_other,4,547395.0,5296717.0,0
1155,nochange,4,stable_other,4,549629.0,5297027.0,0
1156,nochange,4,stable_other,4,546657.0,5295647.0,0
1157,nochange,4,stable_other,4,548153.0,5292811.0,0
1158,nochange,4,stable_other,4,547935.0,5297301.0,0
1159,nochange,4,stable_other,4,549221.0,5296205.0,0
116,nochange,1,cand_change,1,550371.0,5300725.0,0
1160,nochange,4,stable_other,4,546057.0,5295323.0,0
1161,nochange,4,stable_other,4,547421.0,5293235.0,0
1162,nochange,4,stable_other,4,547707.0,5293657.0,0
1163,nochange,4,stable_other,4,549937.0,5295123.0,0
1164,nochange,4,stable_other,4,549987.0,5293841.0,0
1165,nochange,4,stable_other,4,549931.0,5293849.0,0
1166,nochange,4,stable_other,4,549607.0,5292695.0,1
1167,nochange,4,stable_other,4,549723.0,5295739.0,0
1168,nochange,4,stable_other,4,549001.0,5296647.0,0
1169,nochange,4,stable_other,4,546317.0,5296583.0,0
117,nochange,1,cand_change,1,548177.0,5294911.0,0
1170,nochange,4,stable_other,4,550047.0,5294465.0,0
1171,nochange,4,stable_other,4,549573.0,5297799.0,0
1172,nochange,4,stable_other,4,546871.0,5292747.0,0
1173,nochange,4,stable_other,4,547575.0,5293047.0,0
1174,nochange,4,stable_other,4,549675.0,5292647.0,1
1175,nochange,4,stable_other,4,548943.0,5298917.0,0
1177,nochange,4,stable_other,4,549585.0,5293069.0,0
1178,nochange,4,stable_other,4,547055.0,5293733.0,0
1179,nochange,4,stable_other,4,547441.0,5293549.0,0
118,nochange,1,cand_change,1,547907.0,5293485.0,0
1180,nochange,4,stable_other,4,548509.0,5295609.0,0
1181,nochange,4,stable_other,4,546393.0,5295827.0,0
1182,nochange,4,stable_other,4,546731.0,5293653.0,0
1183,nochange,4,stable_other,4,546239.0,5295013.0,0
1184,nochange,4,stable_other,4,548045.0,5296229.0,0
1185,nochange,4,stable_other,4,547857.0,5294327.0,0
1186,nochange,4,stable_other,4,548695.0,5294645.0,0
1187,nochange,4,stable_other,4,549827.0,5299055.0,0
1188,nochange,4,stable_other,4,547437.0,5292425.0,0
1189,nochange,4,stable_other,4,547271.0,5292591.0,0
119,nochange,1,cand_change,1,547315.0,5293205.0,0
1190,nochange,4,stable_other,4,546171.0,5295807.0,0
1191,nochange,4,stable_other,4,547913.0,5295273.0,0
1192,nochange,4,stable_other,4,549725.0,5295349.0,0
1193,nochange,4,stable_other,4,547471.0,5293781.0,0
1194,nochange,4,stable_other,4,547155.0,5295103.0,0
1195,nochange,4,stable_other,4,548553.0,5292041.0,0
1196,nochange,4,stable_other,4,547193.0,5294387.0,0
1197,nochange,4,stable_other,4,546093.0,5295157.0,0
1198,nochange,4,stable_other,4,549063.0,5294441.0,0
1199,nochange,4,stable_other,4,547931.0,5297419.0,0
12,nochange,1,cand_change,1,549589.0,5296515.0,0
120,nochange,1,cand_change,1,548295.0,5297253.0,0
1200,nochange,4,stable_other,4,548115.0,5295711.0,0
1201,nochange,4,stable_other,4,549135.0,5297283.0,0
1202,nochange,4,stable_other,4,548329.0,5295853.0,0
1203,nochange,4,stable_other,4,547437.0,5292095.0,0
1204,nochange,4,stable_other,4,547745.0,5295235.0,0
1205,nochange,4,stable_other,4,549691.0,5292317.0,0
1206,loss,4,stable_other,4,548703.0,5297457.0,0
1207,nochange,4,stable_other,4,549489.0,5299475.0,0
1208,nochange,4,stable_other,4,547849.0,5294439.0,1
1209,nochange,4,stable_other,4,549291.0,5292131.0,0
121,nochange,1,cand_change,1,545999.0,5295053.0,0
1210,nochange,4,stable_other,4,545487.0,5294795.0,0
1211,nochange,4,stable_other,4,550213.0,5298601.0,0
1212,nochange,4,stable_other,4,545479.0,5295145.0,0
1213,nochange,4,stable_other,4,549437.0,5294787.0,0
1214,nochange,4,stable_other,4,547167.0,5295917.0,0
1215,nochange,4,stable_other,4,547217.0,5291853.0,0
1216,nochange,4,stable_other,4,547245.0,5293983.0,0
1217,nochange,4,stable_other,4,547951.0,5291893.0,0
1218,nochange,4,stable_other,4,547569.0,5297213.0,0
