rank,lon,lat,missed_px,forest_px,fn_frac
1,-122.356848,47.799911,51214,62193,0.8235
2,-122.325215,47.804892,49849,49849,1.0
3,-122.325736,47.804885,47142,47142,1.0
4,-122.371157,47.790594,45289,61489,0.7365
5,-122.354506,47.826617,45081,47604,0.947
6,-122.329629,47.795358,44163,60766,0.7268
7,-122.345424,47.819016,43435,52837,0.8221
8,-122.324695,47.804898,40594,41790,0.9714
9,-122.339726,47.784345,40571,59082,0.6867
10,-122.378425,47.789794,40455,59205,0.6833
11,-122.339664,47.800139,40023,65536,0.6107
12,-122.353395,47.788726,39761,63260,0.6285
