band_lo_m,band_hi_m,recall,recalled,missed
0,2,0.1559,5692,30830
2,5,0.1634,67850,347277
5,10,0.3569,369456,665664
10,15,0.5739,509541,378384
15,20,0.7362,645532,231306
20,25,0.8329,712666,142927
25,30,0.8824,668914,89137
30,100,0.9347,1265766,88386
