#param,value
#ref,D:\edmonds-pipeline\Imagery\ccap_2016_hires_lc.tif
#prob,G:\My Drive\treedata\phase4\masks\edmonds_canopy_prob_2000_citywide_rgb.tif
#thresh,0.5
#forest_codes,9 10 11
#stable_with,
#denominator,full_forest
#chm,D:\edmonds-pipeline\Imagery\lidar_snoh_chm.tif

metric,tp_mean,tp_std,fn_mean,fn_std,delta,n_tp,n_fn
prob,0.6301,0.0898,0.2174,0.1311,-0.4127,37150095,35895122
R,58.6752,33.2049,84.2188,46.6042,25.5436,37150095,35895122
G,75.8668,42.7823,99.0807,51.7431,23.2138,37150095,35895122
B,63.0398,37.6052,95.4776,53.0793,32.4379,37150095,35895122
brightness,65.8606,37.4492,92.9257,49.9749,27.0651,37150095,35895122
saturation,0.3061,0.1744,0.2309,0.1598,-0.0752,37150095,35895122
NDVI,nan,nan,nan,nan,nan,0,0
GRVI,0.1276,0.1604,0.0836,0.1495,-0.044,37150095,35895122
height_m,25.5897,10.5704,14.4782,8.9888,-11.1115,37150095,35895122

forest_px,73045217,tp,37150095,fn,35895122,recall,0.5086,indep_cells,26048303,denominator,full_forest
