point_id,label,terminal_absent_epochs,terminal_laundered,terminal_censored,raw_trajectory,healed_trajectory,n_epochs_touched,epochs_touched,tiers_touched,impossible_triples_raw,impossible_triples_healed,healed_to_canopy,healed_to_ignore
1083,nochange,8,0,0,........,........,0,,,0,0,0,0
1084,nochange,8,0,0,........,........,0,,,0,0,0,0
1085,nochange,8,0,0,........,........,0,,,0,0,0,0
1086,nochange,2,0,0,....CC..,....CC..,0,,,0,0,0,0
1087,nochange,8,0,0,........,........,0,,,0,0,0,0
1088,nochange,8,0,0,........,........,0,,,0,0,0,0
1089,nochange,7,0,0,C.......,C.......,0,,,0,0,0,0
109,nochange,4,0,0,...C....,...C....,0,,,0,0,0,0
1090,nochange,0,0,0,CCC.C.CC,CCCCCxCC,2,"2015,2019","BLIND,HEAL",2,0,1,1
1091,nochange,2,0,0,....CC..,....CC..,0,,,0,0,0,0
1092,nochange,8,0,0,........,........,0,,,0,0,0,0
1093,nochange,8,0,0,........,........,0,,,0,0,0,0
1094,nochange,1,0,0,CCCCCCC.,CCCCCCC.,0,,,0,0,0,0
1096,nochange,8,0,0,........,........,0,,,0,0,0,0
1097,nochange,8,0,0,........,........,0,,,0,0,0,0
1098,nochange,8,0,0,........,........,0,,,0,0,0,0
1099,nochange,8,0,0,........,........,0,,,0,0,0,0
11,nochange,8,0,0,........,........,0,,,0,0,0,0
110,nochange,0,0,0,CCCCCCCC,CCCCCCCC,0,,,0,0,0,0
1100,nochange,7,0,0,C.......,C.......,0,,,0,0,0,0
1101,nochange,8,0,0,........,........,0,,,0,0,0,0
1102,nochange,8,0,0,........,........,0,,,0,0,0,0
1103,nochange,8,0,0,........,........,0,,,0,0,0,0
1104,nochange,1,0,0,.C....C.,.C....C.,0,,,0,0,0,0
1105,nochange,7,0,0,C.......,C.......,0,,,0,0,0,0
1106,nochange,0,0,0,.CCCCCCC,.CCCCCCC,0,,,0,0,0,0
1107,nochange,1,0,0,....C.C.,....CxC.,1,2019,BLIND,1,0,0,1
1108,nochange,8,0,0,........,........,0,,,0,0,0,0
1109,nochange,7,0,0,C.......,C.......,0,,,0,0,0,0
111,loss,1,0,0,CCCCCCC.,CCCCCCC.,0,,,0,0,0,0
1110,nochange,2,0,0,.....C..,.....C..,0,,,0,0,0,0
1111,nochange,8,0,0,........,........,0,,,0,0,0,0
1112,nochange,8,0,0,........,........,0,,,0,0,0,0
1113,loss,1,0,0,CCCCC.C.,CCCCCxC.,1,2019,BLIND,1,0,0,1
1114,nochange,8,0,0,........,........,0,,,0,0,0,0
1116,nochange,0,0,0,.CC.CCCC,.CCCCCCC,1,2015,HEAL,1,0,1,0
1117,nochange,1,0,0,..C..CC.,..C..CC.,0,,,0,0,0,0
1118,nochange,0,0,0,C...CCCC,C...CCCC,0,,,0,0,0,0
1119,nochange,0,0,0,.C..C..C,.C..C..C,0,,,0,0,0,0
112,nochange,7,0,0,C.......,C.......,0,,,0,0,0,0
1120,nochange,8,0,0,........,........,0,,,0,0,0,0
1121,nochange,8,0,0,........,........,0,,,0,0,0,0
1122,nochange,0,0,0,......CC,......CC,0,,,0,0,0,0
1123,loss,3,0,0,....C...,....C...,0,,,0,0,0,0
1124,nochange,0,0,0,.......C,.......C,0,,,0,0,0,0
1125,nochange,1,0,0,C.CC.CC.,CCCCxCC.,2,"2011s,2016","BLIND,HEAL",2,0,1,1
1126,nochange,8,0,0,........,........,0,,,0,0,0,0
1127,nochange,8,0,0,........,........,0,,,0,0,0,0
1128,nochange,8,0,0,........,........,0,,,0,0,0,0
1129,nochange,0,0,0,.......C,.......C,0,,,0,0,0,0
113,nochange,8,0,0,........,........,0,,,0,0,0,0
1130,nochange,8,0,0,........,........,0,,,0,0,0,0
1131,nochange,1,0,0,C.....C.,C.....C.,0,,,0,0,0,0
1132,nochange,8,0,0,........,........,0,,,0,0,0,0
1133,nochange,1,0,0,......C.,......C.,0,,,0,0,0,0
