arm,auroc,auroc_lo,auroc_hi,pr_auc,best_f1_height_m,best_f1,best_j_height_m,best_j,own_valid_px,common_px,ref_canopy_px,ref_noncanopy_px
chm,0.901865,0.896251,0.907328,0.869627,9.4,0.789265,9.8,0.644219,42623443,33933949,13835923,20098026
chm2,0.838490,0.830444,0.846063,0.816836,6.0,0.709484,6.8,0.529433,41058477,33933949,13835923,20098026
chm2005,0.797934,0.788326,0.807682,0.763984,6.4,0.669418,7.6,0.469522,34067959,33933949,13835923,20098026
max2(chm2),0.890014,0.883635,0.895877,0.856864,9.0,0.776071,9.4,0.621938,41058477,33933949,13835923,20098026
max1(chm2005),0.831082,0.821858,0.839857,0.789749,7.6,0.714204,8.2,0.526555,34067959,33933949,13835923,20098026
"max(chm2,chm2005)",0.843958,0.835285,0.852326,0.809144,7.0,0.727402,7.8,0.548436,33956096,33933949,13835923,20098026
