mode,sun_floor,cloud_cut_ft,min_run_h,ctrl_TPR,ctrl,c2017,frameTPR,miss,2020_coe,2022_coe,2024_coe,2021_snoh,2016_snoh
strict,30,8000,3,82.6,38/46,4/5,90.5,"2015-02-15,2015-02-18,2015-02-21,2017-05-08,2023-04-19,2023-04-20,2023-04-26,202",50/92,53/97,35/62,75/140,2/2
strict,30,5000,2,93.5,43/46,5/5,99.3,"2015-02-15,2015-02-18,2023-05-07",69/92,76/97,45/62,93/140,2/2
strict,30,5000,3,89.1,41/46,5/5,98.1,"2015-02-15,2015-02-18,2015-02-21,2023-04-19,2023-05-07",58/92,62/97,41/62,83/140,2/2
strict,30,3000,2,95.7,44/46,5/5,99.9,"2015-02-15,2015-02-18",79/92,84/97,49/62,101/140,2/2
strict,30,3000,3,93.5,43/46,5/5,99.5,"2015-02-15,2015-02-18,2015-02-21",74/92,77/97,43/62,88/140,2/2
strict,30,OFF,2,97.8,45/46,5/5,99.9,2015-02-15,90/92,93/97,59/62,116/140,2/2
strict,30,OFF,3,93.5,43/46,5/5,99.5,"2015-02-15,2015-02-18,2015-02-21",86/92,90/97,57/62,112/140,2/2
overlap,0,ANY,2,100.0,46/46,5/5,100.0,,67/92,69/97,38/62,104/140,2/2
overlap,0,ANY,3,100.0,46/46,5/5,100.0,,61/92,63/97,36/62,96/140,2/2
overlap,0,8000,2,100.0,46/46,5/5,100.0,,71/92,76/97,42/62,111/140,2/2
overlap,0,8000,3,100.0,46/46,5/5,100.0,,66/92,69/97,40/62,104/140,2/2
overlap,0,5000,2,100.0,46/46,5/5,100.0,,78/92,85/97,53/62,119/140,2/2
overlap,0,5000,3,100.0,46/46,5/5,100.0,,75/92,76/97,49/62,114/140,2/2
overlap,0,3000,2,100.0,46/46,5/5,100.0,,84/92,93/97,57/62,126/140,2/2
overlap,0,3000,3,100.0,46/46,5/5,100.0,,82/92,88/97,54/62,124/140,2/2
overlap,0,OFF,2,100.0,46/46,5/5,100.0,,92/92,96/97,62/62,138/140,2/2
overlap,0,OFF,3,100.0,46/46,5/5,100.0,,90/92,96/97,60/62,137/140,2/2
overlap,15,ANY,2,100.0,46/46,5/5,100.0,,64/92,66/97,38/62,94/140,2/2
overlap,15,ANY,3,100.0,46/46,5/5,100.0,,57/92,62/97,36/62,87/140,2/2
overlap,15,8000,2,100.0,46/46,5/5,100.0,,67/92,73/97,42/62,105/140,2/2
overlap,15,8000,3,100.0,46/46,5/5,100.0,,62/92,67/97,40/62,97/140,2/2
overlap,15,5000,2,100.0,46/46,5/5,100.0,,73/92,81/97,51/62,116/140,2/2
overlap,15,5000,3,100.0,46/46,5/5,100.0,,69/92,74/97,47/62,111/140,2/2
overlap,15,3000,2,100.0,46/46,5/5,100.0,,83/92,89/97,54/62,125/140,2/2
overlap,15,3000,3,100.0,46/46,5/5,100.0,,80/92,84/97,50/62,124/140,2/2
overlap,15,OFF,2,100.0,46/46,5/5,100.0,,92/92,95/97,61/62,138/140,2/2
overlap,15,OFF,3,100.0,46/46,5/5,100.0,,90/92,94/97,59/62,137/140,2/2
overlap,20,ANY,2,97.8,45/46,5/5,94.4,2023-04-26,62/92,66/97,38/62,92/140,2/2
overlap,20,ANY,3,97.8,45/46,5/5,94.4,2023-04-26,55/92,62/97,35/62,85/140,2/2
overlap,20,8000,2,100.0,46/46,5/5,100.0,,65/92,73/97,42/62,102/140,2/2
overlap,20,8000,3,100.0,46/46,5/5,100.0,,60/92,67/97,39/62,94/140,2/2
overlap,20,5000,2,100.0,46/46,5/5,100.0,,73/92,81/97,51/62,112/140,2/2
overlap,20,5000,3,100.0,46/46,5/5,100.0,,69/92,74/97,46/62,107/140,2/2
overlap,20,3000,2,100.0,46/46,5/5,100.0,,82/92,89/97,54/62,123/140,2/2
overlap,20,3000,3,100.0,46/46,5/5,100.0,,79/92,84/97,50/62,121/140,2/2
overlap,20,OFF,2,100.0,46/46,5/5,100.0,,92/92,95/97,61/62,137/140,2/2
overlap,20,OFF,3,100.0,46/46,5/5,100.0,,90/92,94/97,59/62,136/140,2/2
overlap,25,ANY,2,91.3,42/46,4/5,93.1,"2015-02-18,2017-05-08,2023-04-26,2023-05-07",61/92,63/97,38/62,90/140,2/2
overlap,25,ANY,3,91.3,42/46,4/5,93.1,"2015-02-18,2017-05-08,2023-04-26,2023-05-07",54/92,59/97,35/62,84/140,2/2
overlap,25,8000,2,95.7,44/46,5/5,99.4,"2015-02-18,2023-05-07",64/92,72/97,42/62,99/140,2/2
overlap,25,8000,3,95.7,44/46,5/5,99.4,"2015-02-18,2023-05-07",59/92,65/97,39/62,92/140,2/2
overlap,25,5000,2,97.8,45/46,5/5,99.9,2015-02-18,71/92,80/97,51/62,108/140,2/2
overlap,25,5000,3,97.8,45/46,5/5,99.9,2015-02-18,66/92,73/97,46/62,102/140,2/2
overlap,25,3000,2,100.0,46/46,5/5,100.0,,81/92,88/97,54/62,119/140,2/2
overlap,25,3000,3,100.0,46/46,5/5,100.0,,77/92,83/97,49/62,117/140,2/2
overlap,25,OFF,2,100.0,46/46,5/5,100.0,,92/92,94/97,59/62,132/140,2/2
overlap,25,OFF,3,100.0,46/46,5/5,100.0,,89/92,93/97,58/62,132/140,2/2
overlap,30,ANY,2,89.1,41/46,4/5,93.0,"2015-02-15,2015-02-18,2017-05-08,2023-04-26,2023-05-07",57/92,62/97,36/62,81/140,2/2
overlap,30,ANY,3,89.1,41/46,4/5,93.0,"2015-02-15,2015-02-18,2017-05-08,2023-04-26,2023-05-07",51/92,58/97,34/62,78/140,2/2
overlap,30,8000,2,91.3,42/46,5/5,93.7,"2015-02-15,2015-02-18,2023-04-26,2023-05-07",63/92,72/97,39/62,87/140,2/2
overlap,30,8000,3,91.3,42/46,5/5,93.7,"2015-02-15,2015-02-18,2023-04-26,2023-05-07",57/92,65/97,37/62,83/140,2/2
overlap,30,5000,2,95.7,44/46,5/5,99.9,"2015-02-15,2015-02-18",71/92,79/97,49/62,96/140,2/2
overlap,30,5000,3,95.7,44/46,5/5,99.9,"2015-02-15,2015-02-18",66/92,73/97,45/62,94/140,2/2
overlap,30,3000,2,95.7,44/46,5/5,99.9,"2015-02-15,2015-02-18",81/92,88/97,52/62,108/140,2/2
overlap,30,3000,3,95.7,44/46,5/5,99.9,"2015-02-15,2015-02-18",77/92,83/97,48/62,107/140,2/2
overlap,30,OFF,2,97.8,45/46,5/5,99.9,2015-02-15,92/92,94/97,59/62,119/140,2/2
overlap,30,OFF,3,97.8,45/46,5/5,99.9,2015-02-15,89/92,93/97,58/62,119/140,2/2
