ref_id,resolver_state,resolver_doi,resolver_reason,splink_top_candidate,splink_top_doi,splink_match_weight,splink_match_probability,agrees_with_resolver
Page_1954_continuous-inspection-schemes::b16,unresolved,,"best=crossref:0.20:10.1017/s0305004116000220; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1017/s0305004100027419,10.1017/s0305004100027419,-3.0678106678865653,0.10655301777065916,False
Page_1954_continuous-inspection-schemes::b17,unresolved,,no_title_or_author (nothing to search on),cr::10.7287/peerj.preprints.2269v2/supp-7,10.7287/peerj.preprints.2269v2/supp-7,-1.3262101098814258,0.28510894328342257,False
Page_1954_continuous-inspection-schemes::b18,unresolved,,"best=crossref:0.88:10.31219/osf.io/qe8x2_v3; skipped=semanticscholar,arxiv (rate-limited)",cr::10.2307/2983677,10.2307/2983677,-14.712102459344123,3.725629639092771e-05,False
Page_1954_continuous-inspection-schemes::b19,unresolved,,no_title_or_author (nothing to search on),cr::10.7287/peerj.preprints.2269v2/supp-7,10.7287/peerj.preprints.2269v2/supp-7,-1.3262101098814258,0.28510894328342257,False
Page_1954_continuous-inspection-schemes::b20,unresolved,,"best=crossref:1.00:10.1002/j.1538-7305.1930.tb00373.x; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1002/j.1538-7305.1930.tb00373.x,10.1002/j.1538-7305.1930.tb00373.x,0.7037470074658222,0.6195880916740749,False
Page_1954_continuous-inspection-schemes::b21,unresolved,,no_title_or_author (nothing to search on),cr::10.7287/peerj.preprints.2269v2/supp-7,10.7287/peerj.preprints.2269v2/supp-7,-1.3262101098814258,0.28510894328342257,False
Page_1954_continuous-inspection-schemes::b22,unresolved,,"best=crossref:0.60:10.1080/07474949408836290; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1037/11295-002,10.1037/11295-002,-10.981176683640463,0.0004944491571191531,False
Page_1954_continuous-inspection-schemes::b23,unresolved,,no_title_or_author (nothing to search on),cr::10.7287/peerj.preprints.2269v2/supp-7,10.7287/peerj.preprints.2269v2/supp-7,-1.3262101098814258,0.28510894328342257,False
Page_1954_continuous-inspection-schemes::b24,unresolved,,no_title_or_author (nothing to search on),cr::10.7287/peerj.preprints.2269v2/supp-7,10.7287/peerj.preprints.2269v2/supp-7,-1.3262101098814258,0.28510894328342257,False
Laurance_1998_rain-forest-fragmentation-dynamics::b0,resolved,10.2307/1941941,via=crossref; ratio=0.92; year=1994,cr::10.2307/1941941,10.2307/1941941,19.187307631307462,0.9999983248868828,True
Laurance_1998_rain-forest-fragmentation-dynamics::b1,unresolved,,"best=crossref:0.61:10.1007/978-3-540-71793-5_5; skipped=semanticscholar,arxiv (rate-limited)",cr::10.21236/ada240453,10.21236/ada240453,-10.981176683640463,0.0004944491571191531,False
Laurance_1998_rain-forest-fragmentation-dynamics::b2,resolved,10.2307/1312085,via=crossref; ratio=1.00; year=1992,cr::10.2307/1312085,10.2307/1312085,20.491334481024047,0.9999993215882279,True
Laurance_1998_rain-forest-fragmentation-dynamics::b3,resolved,10.2307/2937142,via=crossref; ratio=1.00; year=1994,cr::10.2307/2937142,10.2307/2937142,29.65406643736778,0.999999998816314,True
Laurance_1998_rain-forest-fragmentation-dynamics::b4,resolved,10.2307/1940529,via=crossref; ratio=0.98; year=1985,cr::10.2307/1940529,10.2307/1940529,29.65406643736778,0.999999998816314,True
Laurance_1998_rain-forest-fragmentation-dynamics::b5,unresolved,,"best=crossref:0.49:10.1002/essoar.10509189.1; skipped=semanticscholar,arxiv (rate-limited)",cr::10.2307/2985674,10.2307/2985674,-14.401750926415923,4.6197759875344225e-05,False
Laurance_1998_rain-forest-fragmentation-dynamics::b6,resolved,10.2307/2845404,via=crossref; ratio=1.00; year=1991,cr::10.2307/2845404,10.2307/2845404,28.23902893808894,0.999999996843504,True
Laurance_1998_rain-forest-fragmentation-dynamics::b7,resolved,10.2307/1941873,via=crossref; ratio=0.97; year=1992,cr::10.2307/1941873,10.2307/1941873,24.135741129676916,0.9999999457477282,True
Laurance_1998_rain-forest-fragmentation-dynamics::b8,unresolved,,"best=crossref:0.39:10.1201/b16536-6; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1017/cbo9780511623356.007,10.1017/cbo9780511623356.007,-9.052264642117017,0.0018800938600636121,False
Laurance_1998_rain-forest-fragmentation-dynamics::b9,resolved,10.2307/1941173,via=crossref; ratio=1.00; year=1988,cr::10.2307/1941173,10.2307/1941173,21.37585726360411,0.9999996325268425,True
Laurance_1998_rain-forest-fragmentation-dynamics::b10,resolved,10.2307/2269347,via=crossref; ratio=1.00; year=1995,cr::10.2307/2269347,10.2307/2269347,27.538589219947845,0.999999994870694,True
Laurance_1998_rain-forest-fragmentation-dynamics::b11,unresolved,,"best=crossref:0.56:10.1016/s0006-3207(99)00079-8; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1017/cbo9780511574931.024,10.1017/cbo9780511574931.024,-9.052264642117017,0.0018800938600636121,False
Laurance_1998_rain-forest-fragmentation-dynamics::b12,resolved,10.1016/0169-5347(96)20047-3,via=crossref; ratio=1.00; year=1996,cr::10.1016/0169-5347(96)20047-3,10.1016/0169-5347(96)20047-3,23.35441251663491,0.9999999067559215,True
Laurance_1998_rain-forest-fragmentation-dynamics::b13,resolved,10.1111/j.1442-9993.1994.tb00493.x,via=crossref; ratio=1.00; year=1994,cr::10.1111/j.1442-9993.1994.tb00493.x,10.1111/j.1442-9993.1994.tb00493.x,28.23902893808894,0.999999996843504,True
Laurance_1998_rain-forest-fragmentation-dynamics::b14,resolved,10.1046/j.1523-1739.1997.96167.x,via=crossref; ratio=1.00; year=1997,cr::10.1046/j.1523-1739.1997.96167.x,10.1046/j.1523-1739.1997.96167.x,26.524783420422814,0.9999999896427476,True
Laurance_1998_rain-forest-fragmentation-dynamics::b15,resolved,10.1017/s0266467400003448,via=crossref; ratio=1.00; year=1989,cr::10.1017/s0266467400003448,10.1017/s0266467400003448,26.95362671922669,0.9999999923060411,True
Laurance_1998_rain-forest-fragmentation-dynamics::b16,unresolved,,"best=crossref:0.49:10.1016/j.foreco.2016.08.002; skipped=semanticscholar,arxiv (rate-limited)",cr::10.1017/cbo9780511574931.024,10.1017/cbo9780511574931.024,-9.052264642117017,0.0018800938600636121,False
Laurance_1998_rain-forest-fragmentation-dynamics::b17,resolved,10.2307/1938106,via=crossref; ratio=1.00; year=1989,cr::10.2307/1938106,10.2307/1938106,28.846711515310176,0.9999999979285495,True
Laurance_1998_rain-forest-fragmentation-dynamics::b18,resolved,10.1016/0006-3207(91)90139-z,via=crossref; ratio=1.00; year=1991,cr::10.1016/0006-3207(91)90139-z,10.1016/0006-3207(91)90139-z,17.049862417790646,0.9999926298421494,True
Laurance_1998_rain-forest-fragmentation-dynamics::b19,resolved,10.1017/s0376892900038315,via=crossref; ratio=1.00; year=1996,cr::10.1017/s0376892900038315,10.1017/s0376892900038315,5.91188761158531,0.9836623145169905,True
