why,work_key,group,page,source,db_text_source,db_len,tei_on_disk,before_version,before_match,before_len,before_page_text,before_reproduces_db,after_version,after_match,after_len,after_page_text,before_blocks_in_file,after_blocks_in_file,before_group_identical,after_group_identical
identical,Abdulkader_2020_cnn-fpga-implementation-hardware,01a0ad5b-16aa-7864-aba6-35cdb04e05a1:9c1dfecfca2a3a62de3e061df62ca92b,27,grobid,native,26695,False,stage5-3,unmatched,,,False,stage5-4,unmatched,,,19497,19497,False,False
identical,Abdulkader_2020_cnn-fpga-implementation-hardware,01a0ad5b-16aa-7864-aba6-35cdb04e05a1:ca556ce707068e4aecead6e4978d5dce,27,grobid,native,988,False,stage5-3,unmatched,,,False,stage5-4,unmatched,,,19497,19497,False,False
tool-cross-page,Abdulkader_2020_cnn-fpga-implementation-hardware,01a0ad5b-4805-7768-b39d-6d85d1dfb8c5,49,grobid,ocr,8740,False,stage5-3,unmatched,,,False,stage5-4,unmatched,,,19497,19497,False,False
tool-cross-page,Abdulkader_2020_cnn-fpga-implementation-hardware,01a0ad5b-48a8-7f15-8c42-e7603678564c,52,grobid,ocr,8740,False,stage5-3,unmatched,,,False,stage5-4,unmatched,,,19497,19497,False,False
tool-cross-page,Abdulkader_2020_cnn-fpga-implementation-hardware,01a0ad5b-4616-7c9b-a24d-11188144f9a7,34,grobid,ocr,3755,False,stage5-3,unmatched,,,False,stage5-4,unmatched,,,19497,19497,False,False
tool-cross-page,Ahishali_2025_ada-net-attention-guided,01a0abcf-41dd-7b9a-9bc8-edb8817d653b,5,grobid,tool,239,True,stage5-3,matched,239,,True,stage5-4,matched,59,sentence,238,238,False,False
identical,Benedek_2015_multilayer-markov-random-field,01a0abc6-ebe8-7b30-a996-7c04de50589a:cddcbef79a552eee987966dfaf709264,15,docling,native,89,True,stage5-3,matched,89,,True,stage5-4,matched,89,,438,438,True,True
identical,Benedek_2015_multilayer-markov-random-field,01a0abc6-ebe8-7b30-a996-7c04de50589a:cddcbef79a552eee987966dfaf709264,16,docling,native,89,True,stage5-3,matched,89,,True,stage5-4,matched,89,,438,438,True,True
identical,Charitos_2007_computing-short-interval-transition,01a0abc7-8b39-7415-bf83-85b0e7abda1c:4c171dfd5b3a9bcbb8677907146abb30,8,grobid,native,48,True,stage5-3,matched,48,,True,stage5-4,matched,48,,298,298,True,True
identical,Charitos_2007_computing-short-interval-transition,01a0abc7-8b39-7415-bf83-85b0e7abda1c:4c171dfd5b3a9bcbb8677907146abb30,9,grobid,native,48,True,stage5-3,matched,48,,True,stage5-4,matched,48,,298,298,True,True
tool-cross-page,Chen_2022_new-p-control-chart,01a0abcc-2310-74bc-a9cc-1af7138705b0,28,grobid,ocr,38,True,stage5-3,matched,38,,True,stage5-4,matched,0,sentence,295,295,False,False
tool-cross-page,Fellegi_1969_theory-record-linkage,01a0abcc-5830-7a2e-a0fe-128f3708a23e,21,grobid,ocr,786,True,stage5-3,matched,786,,True,stage5-4,matched,23,sentence,649,649,False,False
tool-cross-page,Leung_2004a_general-framework-error-analysis,01a0abc9-3da0-7634-bb2f-6b1db187bc50,6,grobid,tool,219,True,stage5-3,matched,219,,True,stage5-4,matched,135,sentence,528,527,False,False
tool-cross-page,Montgomery_1991_some-statistical-process-control,01a0abc9-9c59-7e4a-8e24-db950930a509,9,docling,ocr,215,True,stage5-3,matched,215,,True,stage5-4,matched,2,charspan,798,798,False,False
tool-cross-page,Montgomery_1991_some-statistical-process-control,01a0abc9-9c66-78a0-8d74-964aecc9b858,9,grobid,ocr,1351,True,stage5-3,matched,1351,,True,stage5-4,matched,134,sentence,798,798,False,False
tool-cross-page,Ouyang_2024_omnidocbench-benchmarking-diverse-pdf,01a0ade0-53d5-7570-b628-57770a92a658,20,grobid,ocr,437,False,stage5-3,unmatched,,,False,stage5-4,unmatched,,,3872,3872,False,False
tool-cross-page,Tartakovsky_2008_asymptotically-optimal-quickest-change,01a0abcb-2bf7-7ae7-9d26-2c9f3398cc38,2,docling,tool,396,True,stage5-3,matched,396,,True,stage5-4,matched,39,charspan,630,633,False,False
identical,Tkaczyk_2018_machine-learning-vs-rules,01a0abce-c5f4-731b-88d3-5261a72054b3:21ec5baa384b2267594540d7e1ded5c2,7,docling,native,60,True,stage5-3,matched,60,,True,stage5-4,matched,60,,254,254,True,True
identical,Tkaczyk_2018_machine-learning-vs-rules,01a0abce-c5f4-731b-88d3-5261a72054b3:21ec5baa384b2267594540d7e1ded5c2,3,docling,native,60,True,stage5-3,matched,60,,True,stage5-4,matched,60,,254,254,True,True
identical,VargasMunoz_2019_correcting-rural-building-annotations,01a0abce-d300-7444-94f3-3d1dbd627420:b500ab9feec76558c6958923678fb144,2,docling,native,69,True,stage5-3,matched,69,,True,stage5-4,matched,69,,239,239,True,True
identical,VargasMunoz_2019_correcting-rural-building-annotations,01a0abce-d300-7444-94f3-3d1dbd627420:b500ab9feec76558c6958923678fb144,8,docling,native,69,True,stage5-3,matched,69,,True,stage5-4,matched,69,,239,239,True,True
