file_id,block_id,byte_hex,prefix,suffix,status,resolved_ligature,all_hits
01a0a4c5-1bb8-7698-ad8d-2d839ec0f4f7,01a0abc7-85bb-71b2-96d2-098a9915196b,0x5,f,L,unresolved,,
01a0a4c5-1bb8-7698-ad8d-2d839ec0f4f7,01a0abc7-85bc-77c4-9619-9869c2fe4c63,0x5,u,L,unresolved,,
01a0a4c5-1bb8-7698-ad8d-2d839ec0f4f7,01a0abc7-85bc-77c4-9619-9869c2fe4c63,0x5,f,L,unresolved,,
01a0a4c5-1bb8-7698-ad8d-2d839ec0f4f7,01a0abc7-85bc-77c4-9619-9869c2fe4c63,0x5,f,L,unresolved,,
01a0a4c5-1bb8-7698-ad8d-2d839ec0f4f7,01a0abc7-85bd-747a-9b31-ea6632569e0e,0x5,u,L,unresolved,,
01a0a4c5-1bb8-7698-ad8d-2d839ec0f4f7,01a0abc7-85bd-747a-9b31-ea6632569e0e,0x5,f,L,unresolved,,
01a0a4c5-1bb8-7698-ad8d-2d839ec0f4f7,01a0abc7-85bd-747a-9b31-ea6632569e0e,0x5,f,L,unresolved,,
01a0a4c5-1bb8-7698-ad8d-2d839ec0f4f7,01a0abc7-85bd-747a-9b31-ea6632569e0e,0x5,u,L,unresolved,,
01a0a4c5-1bb8-7698-ad8d-2d839ec0f4f7,01a0abc7-85be-71ef-8715-35ead36cea89,0x5,u,L,unresolved,,
01a0a4c5-1bb8-7698-ad8d-2d839ec0f4f7,01a0abc7-85c9-7968-8c4c-1229444405a3,0x5,f,L,unresolved,,
01a0a4c5-1bb8-7698-ad8d-2d839ec0f4f7,01a0abc7-85ca-7531-aa00-1289f869dab0,0x5,f,L,unresolved,,
01a0a4c5-1bb8-7698-ad8d-2d839ec0f4f7,01a0abc7-85cb-7b27-8ac9-8f85f09bdd6f,0x5,f,L,unresolved,,
01a0a4c5-1bb8-7698-ad8d-2d839ec0f4f7,01a0abc7-85d5-7edc-9587-41c8357be127,0x5,f,L,unresolved,,
01a0a4c5-1bb8-7698-ad8d-2d839ec0f4f7,01a0abc7-85de-7cc1-928b-dee32f03d21b,0x5,f,L,unresolved,,
01a0a4c5-1bb8-7698-ad8d-2d839ec0f4f7,01a0abc7-85de-7cc1-928b-dee32f03d21b,0x5,fj,L,unresolved,,
01a0a4c5-1bb8-7698-ad8d-2d839ec0f4f7,01a0abc7-8611-7a22-bf42-10ab7281d35c,0x5,f,L,unresolved,,
01a0a4c5-2367-73e7-ac11-cc29947e8440,01a0abc7-ddfa-71c2-b0b7-16943157e570,0xc,z,L,unresolved,,
01a0a4c5-2367-73e7-ac11-cc29947e8440,01a0abc7-ddfa-7c37-9855-22ef35dfc058,0xc,z,L,unresolved,,
01a0a4c5-550c-74ad-8db9-26fc74fddd46,01a0abc6-9b2a-7edc-95e7-9d80789ccdd4,0x8,dt,j,unresolved,,
01a0a4c5-550c-74ad-8db9-26fc74fddd46,01a0abc6-9b3f-7b9a-90a6-8e4db228652f,0x15,i,ui,unresolved,,
01a0a4c6-ea48-76f2-a789-a915eca07778,01a0abc7-bafc-70be-911c-661c35b6c3fc,0x1f,Plan,ng,unresolved,,
01a0a4c6-ea48-76f2-a789-a915eca07778,01a0abc7-bb09-798b-9d0a-c029ba323fe6,0x1f,Plan,ng,unresolved,,
01a0a4d1-620d-702a-afc7-f6801b52ff0d,01a0abc9-2789-71e2-8162-c0b17afa4ea0,0x14,a,mA,unresolved,,
01a0a4d1-9099-7103-91a5-7d2018584741,01a0abc7-f038-751e-8ed0-63e8e03bd36d,0x1,Let,f,unresolved,,
01a0a4d1-9099-7103-91a5-7d2018584741,01a0abc7-f038-751e-8ed0-63e8e03bd36d,0x1,take,f,unresolved,,
01a0a4d1-9099-7103-91a5-7d2018584741,01a0abc7-f038-751e-8ed0-63e8e03bd36d,0x1,from,f,unresolved,,
01a0a4d1-9099-7103-91a5-7d2018584741,01a0abc7-f048-71c1-9889-970a39323636,0x1,df,i,unresolved,,
01a0a4d1-9099-7103-91a5-7d2018584741,01a0abc7-f048-71c1-9889-970a39323636,0x1,df,i,unresolved,,
01a0a4d1-9099-7103-91a5-7d2018584741,01a0abc7-f048-7b6a-991c-e503a07e95a5,0x1,of,f,unresolved,,
01a0a4d1-9099-7103-91a5-7d2018584741,01a0abc7-f04b-7884-b724-3a0e3f6414f5,0x1,With,f,unresolved,,
01a0a4d1-9099-7103-91a5-7d2018584741,01a0abc7-f04d-7cf9-a5ba-b9f8b09ec4d0,0x1,With,f,unresolved,,
01a0a4d1-9099-7103-91a5-7d2018584741,01a0abc7-f09d-76ee-b96b-2a1739282ef7,0x16,of,fi,unresolved,,
01a0a4d1-9099-7103-91a5-7d2018584741,01a0abc7-f0a4-729b-a357-f9967bc7d525,0x16,M,ijyj,unresolved,,
01a0a4d1-9099-7103-91a5-7d2018584741,01a0abc7-f0a4-729b-a357-f9967bc7d525,0x16,M,ij,unresolved,,
01a0a4d1-9099-7103-91a5-7d2018584741,01a0abc7-f0a7-717f-b0b4-3920b928cff0,0x1,becomes,E,unresolved,,
01a0a4d1-9099-7103-91a5-7d2018584741,01a0abc7-f0a7-7ce9-98f9-c6ee2df14969,0x1,becomes,E,unresolved,,
01a0a4d1-9099-7103-91a5-7d2018584741,01a0abc7-f0ab-79c2-85ef-b85d059565b6,0x16,M,ij,unresolved,,
01a0a4d1-9099-7103-91a5-7d2018584741,01a0abc7-f0ad-7461-8ece-76563fcbc2b0,0x16,M,ij,unresolved,,
