sha256,name,relpath,route,pages,ocr_pages,file_id,work_id,tei,docling,blocks,matched,disagreements,figures,tables,equations,latex_attached,latex_rows_for_file,latex_unmatched,coverage_by_page_type,coverage_min_share,coverage_failures,grobid_seconds,docling_seconds,reconcile_seconds,ingest_seconds,run_id,inserted,status,note
0d48f19fa20eb94aa572c7f7aa35bf937d5ca5dcfaec99a7cfa481e01b7da430,Benedek_2009_change-detection-optical-aerial-images.pdf,Validation/Benedek_2009_change-detection-optical-aerial-images.pdf,native,15,0,01a0a4b7-aaba-779c-a08d-f020c87d5dd7,01a0a4b7-aab5-7f39-965f-679ba79c5e6c,True,True,400,141,227,15,1,58,22,22,0,"{""text"": 1.0}",1.0,0,,,1.31,0.36,01a0aa23-f3aa-749a-b24b-a65b9e1d4b08,True,ok,
87403ce2d8ca40c4fc189a0c7d40e845fde3d6438625a3018f10d6e5132f1d60,Benedek_2015_multilayer-markov-random-field-models.pdf,Validation/Benedek_2015_multilayer-markov-random-field-models.pdf,native,16,0,01a0a4b7-b32d-719c-8dc9-03996295d2e8,01a0a4b7-b327-7f03-bb4d-e502b0712358,True,True,583,183,387,10,4,40,10,10,0,"{""text"": 0.9999}",0.9989195029713668,0,,,2.17,0.59,01a0aa23-fd9b-77e0-8d58-66c3efdfd4d8,True,ok,
d155815b607568d852ca2aac08db35fd1d37d27436b40e7b10dec586480b31b1,Benjamini_1995_controlling-false-discovery-rate.pdf,Validation/Benjamini_1995_controlling-false-discovery-rate.pdf,native,12,0,01a0a4d6-ea99-7e59-9bea-f38401c988e7,01a0a4d6-ea96-7605-b8c4-90a46df7cfac,True,True,274,60,217,1,1,20,4,4,0,"{""text"": 1.0}",1.0,0,,,0.75,0.23,01a0aa24-02e7-7b07-a877-4a39177efd94,True,ok,
66aa4bba2b6836a949458701ae8af85045502a9e3fa96484f3c75a1d122eb7ef,Besag_1974_spatial-interaction-statistical-analysis.pdf,Validation/Besag_1974_spatial-interaction-statistical-analysis.pdf,native,34,0,01a0a151-6802-7d6c-8d79-bccb2210d4e7,01a0a151-6800-7d3b-905b-692474b4e1b3,True,True,663,196,452,0,16,93,7,7,0,"{""text"": 1.0}",1.0,0,,,2.61,0.66,01a0aa24-0e3a-79f2-b4fc-04b6d256b4ed,True,ok,
edb7b3991e1f1ac7ce2b4c2d171d163ce757470fc734568a78dda965bdb47ac8,Blackman_2020_detecting-long-term-urban-forest.pdf,Validation/Blackman_2020_detecting-long-term-urban-forest.pdf,native,20,0,01a0a4be-5646-7d1f-a4ca-13ca5f973c60,01a0a4be-5642-7d09-9b64-a2d23f9c9e82,True,True,326,60,203,12,9,0,0,0,0,"{""text"": 0.9859}",0.8315041962556488,0,,,1.14,0.41,01a0aa24-1551-7731-b423-7380ec27eb33,True,ok,
f6a07e815618053dab4157539390a63152619b95a7a93ea19eee64adf3886c8e,Blakemore_1984_generalisation-error-spatial.pdf,Validation/Blakemore_1984_generalisation-error-spatial.pdf,native,9,0,01a0a151-a27a-7b01-9583-cc5300a1e9c1,01a0a151-a278-7e62-a1e9-61b9105b7e45,True,True,103,27,68,2,1,0,0,0,0,"{""text"": 1.0}",1.0,0,,,0.5,0.14,01a0aa24-18e0-70c7-8520-c8bf1e19c56a,True,ok,
5664ffc821d493ebb6f1b59f89d702d736b7184a7e7158e580a98d5a7b010f77,Bloch_2012_mathematical-morphology-bipolar-fuzzy.pdf,Validation/Bloch_2012_mathematical-morphology-bipolar-fuzzy.pdf,native,30,0,01a0a4c2-fab3-7725-a6b4-241d87a42995,01a0a4c2-faaf-788f-8744-4f290b219402,True,True,1088,259,755,14,0,151,61,61,0,"{""text"": 1.0}",1.0,0,,,2.98,0.91,01a0aa24-2536-7ada-b79c-3705357de1d0,True,ok,
c3b55a0698890d195b77e9e1ef57ec28248f47e2dc51ddf6725b3ba21a235b35,Bogaert_2022_hidden-markov-models-annual-land.pdf,Validation/Bogaert_2022_hidden-markov-models-annual-land.pdf,native,14,0,01a0a4b7-6190-7c99-b423-5e77d48deb90,01a0a4b7-618c-7323-8655-a9967557dc4a,True,True,291,93,173,10,8,23,4,4,0,"{""text"": 1.0}",1.0,0,,,1.52,0.33,01a0aa24-2eb8-7522-b025-45c3a5c61d70,True,ok,
a002225b2f1d3da9fd9ac9aaf12c1fa859f9a029bc5e803c7939b72d8c27e6ec,Boykov_2001_interactive-graph-cuts-optimal-boundary.pdf,Validation/Boykov_2001_interactive-graph-cuts-optimal-boundary.pdf,native,8,0,01a0a4db-4d83-7d62-bb12-278c671fa53c,01a0a4db-4d80-702e-830d-3d0f7fed58ec,True,True,244,56,163,12,3,18,0,0,0,"{""text"": 0.9977}",0.9963208241353937,0,,,0.77,0.2,01a0aa24-3316-7c79-b4b2-39e77424f948,True,ok,
4e09d0adac342f16894e7d80ddf8a2a5d58198aa8185fd8a30a040db7e40ab4e,Boykov_2003_computing-geodesics-minimal-surfaces.pdf,Validation/Boykov_2003_computing-geodesics-minimal-surfaces.pdf,native,8,0,01a0a4db-3dc7-7626-aeac-1d9aa31059f3,01a0a4db-3dc3-765b-aece-1bb805267e5e,True,True,343,59,236,26,0,26,10,10,0,"{""text"": 1.0}",1.0,0,,,0.78,0.3,01a0aa24-3700-7fa4-9fc0-ba18da5c3cf8,True,ok,
b5da86c1f8f0cf8fa40a6c7b35ac8b32d1a4bfc3c155c4b301e9582b408fe78f,Broaddus_2020_removing-structured-noise-self.pdf,Validation/Broaddus_2020_removing-structured-noise-self.pdf,native,5,0,01a0a4d1-cf98-74f7-9be5-1fd10fa9d7dd,01a0a4d1-cf95-713a-b815-697e425508b3,True,True,173,35,125,5,1,0,0,0,0,"{""text"": 1.0}",1.0,0,,,0.5,0.16,01a0aa24-3a20-7338-b278-3a13b4d630e7,True,ok,
9f68004a855b6557029999d5f175ad34c6aea7ea86e9e5645088063a7ad8d688,Brook_1972_approach-probability-distribution-cusum.pdf,Validation/Brook_1972_approach-probability-distribution-cusum.pdf,native,11,0,01a0a151-8739-77bb-8a88-029df72c4c80,01a0a151-8737-7ada-900a-f55b731f52d0,True,True,248,60,185,1,1,45,6,6,0,"{""text"": 1.0}",1.0,0,,,0.59,0.2,01a0aa24-3d20-7826-8cf5-9f4d853ba818,True,ok,
ce5e6e04d5557916782ff13bea85b133eada7e2760e2bf286e0e08e1fb0f9a33,Brown_2022_aerial-animal-detection-spatial-resolution.pdf,Validation/Brown_2022_aerial-animal-detection-spatial-resolution.pdf,native,20,0,01a0a4bd-0612-7dc4-8eef-09fd9e30d329,01a0a4bd-060f-7147-a2c4-7344c829abe5,True,True,209,73,114,9,4,14,2,2,0,"{""text"": 1.0}",1.0,0,,,0.7,0.55,01a0aa24-40fa-7bce-a326-4b6189c66e69,True,ok,
8790bb1a8ab67a17d69e817ecceaca772a5b24296c0c1b9e68538ca128bc376b,Browning_2021_simple-discrete-time-self-exciting.pdf,Validation/Browning_2021_simple-discrete-time-self-exciting.pdf,native,28,0,01a0a4d6-bc0c-7b65-b8ac-10da9a2c927b,01a0a4d6-bc09-760c-b773-a07ba335c0a4,True,True,467,112,295,11,4,8,4,4,0,"{""text"": 1.0}",1.0,0,,,1.72,0.48,01a0aa24-49f4-7e1b-99fc-03e83f5bf044,True,ok,
08d1bdf626d0bf04ef8acb95bff8ec0885f6c83239a68eb46e31afd1cf39b7d6,Bureau_2003_applications-continuous-time-hidden.pdf,Validation/Bureau_2003_applications-continuous-time-hidden.pdf,native,22,0,01a0a4d6-6db4-7343-965a-aca7b3c090d4,01a0a4d6-6db0-7e25-921c-ddc508b09695,True,True,397,90,316,2,9,25,12,12,0,"{""text"": 1.0}",0.9995590828924162,0,,,1.16,0.44,01a0aa24-507f-78ba-a1db-5785bca1f3b5,True,ok,
42c39320c1669d9d2505f862793801c2305fd20242c61391bdad08544b9936d2,Burnicki_2007_simulating-error-propagation-land.pdf,Validation/Burnicki_2007_simulating-error-propagation-land.pdf,mixed,21,1,01a0a4c6-c2e8-7eac-b053-ccf8ffe556ae,01a0a4c6-c2e5-737b-a561-85437140e433,True,True,279,81,184,5,0,7,0,0,0,"{""partial"": 1.0, ""text"": 0.9657}",0.0,2,,,0.98,0.23,01a0aa24-5619-7d94-9974-9c9ead0f6e31,True,ok,
02a4a6249136d89d81ed940b3bde3d4fc9f9f5446496352b78c71b6a713bfa54,Burnicki_2010_propagating-error-land-cover-change.pdf,Validation/Burnicki_2010_propagating-error-land-cover-change.pdf,native,20,0,01a0a4d2-161e-7cd2-9b8c-19fd20670347,01a0a4d2-161b-7346-a572-7e81d182998e,True,True,292,61,207,5,3,7,4,4,0,"{""text"": 1.0}",1.0,0,,,1.02,0.26,01a0aa24-5b25-743f-902a-51d7ed9c96dd,True,ok,
